-追加希望です：各組織との関係値などのまとめリストがあったら嬉しいです - PEN (2024-10-29 10:24:20) 
--簡略的な関係値まとめを作成しました。構成員全員の視点を追えているわけではないので、正確性はあまりないかもしれません。 - shio (2024-10-29 11:33:32) 
-一斉解雇のときにコードネームも解消されているかもしれないと考慮して旧体制時代に与えられた鳥の名には「旧MOZU」と入れていましたが、&br()11/22の「隼」はもういる発言、銭形に名を与えられた際に「ボアにも与えたよな？」というボスの発言からそのまま継承されていると判断。&br()鳥の名の「旧MOZU」表記を削除しました。 - tk0322 (2024-11-24 10:04:55) 
-別ページから来ました。全く同じ内容の嵐文章がページトップに書き込まれていたので削除いたしました。勝手な編集ではありますので編集履歴の確認お願いします。 - yxu (2025-02-05 01:45:20) 
-ALLINとの関係値、◎/〇/〇くらいでは？ - KOYO (2025-02-27 14:06:39) 
-以前に他組織との関係値情報の追加をお願いした者です。採用していただきありがとうございました。もしさらに追加をお願いできるとしたらギャング以外にDEP、ARCANA、今は無き個人医組合などの非ギャング組織や解散済みギャングとの関係なども別途項目に追加いただけないでしょうか？ - 名無しさん (2025-03-21 08:20:51) 
-構成員欄について、謎の位置の改行が見るたびに気になります。内容は変更しないので綺麗な見やすい表示に変更してもよろしいでしょうか。 - 325 (2025-04-22 01:15:58) 
--パソコンかスマホで編集する違いで、変な位置に改行があるのかもしれませんね。　見やすいに越したことはありませんので、編集をお願いしたい所存です(いち閲覧者の発言ですが) - 名無しさん (2025-05-10 12:39:13) 
--どうやら同じ文字数で改行を挟んでいるようですね。普通に文末等での改行に修正していいと思います。 - 名無しさん (2025-07-02 11:52:25) 
-餡ブレラさんのページみたいに、抗争の実績表みたいなの作れませんか?? - ak (2025-05-10 12:16:09) 
--負けっぱなしなので誰も作りたく無いんだと思います。 - 名無しさん (2025-07-24 20:32:45) 
-ゼラチンおでんさんはMOZUの一斉解雇後、起きてきてルーファスさんやいち郎さん達と話をしてるので一斉解雇は知ってると思います - 名無しさん (2025-05-17 04:52:32) 
-1085番地を売却したので本拠地は8018番地でいいと思うのですがどうでしょうか。 - 名無しさん (2025-07-18 18:23:31) 
-ローレンの鳥の名について、正式に&quot;二代目&quot;と言及ないため一度削除しています。 - 名無しさん (2025-07-28 09:21:20) 
-ミカと天草に鳥の名前があるので追加して欲しいです。ボスの最後のエンドロールで書いてあります。よろしくお願いします - 名無しさん (2025-08-22 15:18:52) 
--まだ本人に知らさせていないのだから、まだ記載しなくてもいいと思います。 - 名無しさん (2025-08-22 16:05:08) 
-ミカの鳥の名『鴆』の読み方はちんではないでしょうか？ - 名無しさん (2025-08-22 22:08:36) 
--ボスは正しい読みが「ちん」であることは分かった上で「しん」としています。 - 名無しさん (2025-08-22 22:21:28) 
---もしよろしければ、footnote(右上に小さく数字を出し、マウスオンをすると備考が表示されるプラグイン)でこの旨を添えて記載できますが、いかがなさいましょうか？ - 名無しさん (2025-08-22 23:09:52) 
----とりあえず簡単に追記しておきました。 - 名無しさん (2025-08-23 01:48:39) 
-ヴァンダーマーの鳥の名ですが、「百舌鳥」「百舌」どちらが正しいのでしょうか？漢字としては「百舌鳥」が正しいのでしょうが以前無線に表示させた名前と先日のコラボ香水では「百舌」となっています。 - 名無しさん (2025-08-26 11:04:13) 
--動画だと百舌鳥なので百舌鳥かなと思います。 - 名無しさん (2025-08-27 06:17:49) 
-このページのどこを見ても鳥の名がどこに書いてあるのかわからないのですが、非公開になっていますか？Googleの検索結果には表示される - 名無しさん (2025-09-03 22:25:04) 
--構成員の下にチェックボックスがあるのでそこの鳥の名にチェックでみれます - 名無しさん (2025-09-12 18:03:23) 
