#region(2025年)
&bgcolor(#ffffff){&bold(){&big(){2025年}}}
#table_filter(){日付=show,出来事=show,切り抜き=hide,関係者=hide,備考=show}
#table_style(head=center)
|BGCOLOR(#FF681F):~&color(#ffffff){日付}|BGCOLOR(#FF681F):~&color(#ffffff){出来事}|BGCOLOR(#FF681F):~&color(#ffffff){切り抜き}|BGCOLOR(#FF681F):~&color(#ffffff){関係者}|BGCOLOR(#FF681F):~&color(#ffffff){備考}|h
|~1月5日|~誕生日会＆&br()新年会議|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch}>>https://youtu.be/tdxIp2r8lys?si=nmXOr4BdPu9tjS3q]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){けっつんch}>>https://youtu.be/QuWs6Kpyq5w?si=OcBBFcWnXjETWZXD]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){月夜見レオch}>>https://youtu.be/LsLo6vfth-Q?si=VrMvWkeTml7cuqIb]]|~[[四皇 シャンクズ>>四皇　シャンクズ]]&br()[[丘猫 まる>>丘猫　まる]]&br()[[けっつん 太郎>>けっつん　太郎]]&br()[[しょうがく SAY>>パス　トバリ]]&br()[[ようち えんじ>>パス　ヒソカ]]&br()[[アルバート ポンデリン>>Albert　Pondering]]&br()[[待雄 サンリ>>待雄　サンリ]]&br()[[髭野 たけーら>>髭野　たけーら]]&br()[[ちの まるこ>>赤色　にごう]]&br()[[黒岩 るい子>>黒岩　るい子]]&br()[[ツクヨミ レオ>>ツクヨミ　レオ]]&br()[[さとう]]|[[シャンクズ>>四皇　シャンクズ]]・[[えんじ>>パス　ヒソカ]]・[[チンピラ>>Lv.〇　チンピラ]]&openclose2(show=＊){(チンピラは体調不良により欠席)}の誕生日会。&br()その後久々の会議。人員を増やしたい旨や[[Ura Ipura]]が体験加入する事、[[ツクヨミ レオ>>ツクヨミ　レオ]]の犯罪参加意志の確認、&br()[[ALLIN]]が大型受注に関して抗争を仕掛けてくるらしい事などを共有した|
|~1月8日|~[[Ura Ipura]]/[[ツクヨミ レオ>>ツクヨミ　レオ]]/[[山田 カイキ>>山田　カイキ]]&br()体験開始|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch①}>>https://youtu.be/t-GLGoCNsdk?si=FEyAQD8FluJ96yxX]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch②}>>https://youtu.be/EQVPDO8XA0Q?si=h237LfTEcUS4ikRG]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){宙星ぱるch}>>https://youtu.be/xoJxs7YZNAM?si=zAcnZV4qTDTAP5Y4]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){けっつんch}>>https://youtu.be/4x6mHeL9dic?si=Zgj94jJcndprNO1-]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){かしわねこch}>>https://youtu.be/ajDG1nFwEi8?si=rn71xcaMN47jvD4m]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){あしさんりch①}>>https://youtu.be/-JuUWk-fynk?si=XsiNOzJ0UXkivgXg]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){あしさんりch②}>>https://youtu.be/OLCOGxXzynI?si=h47wSCtWCGDTepLl]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){みなみてってch}>>https://youtu.be/g2e2C9bSg0c?si=k8sHUl0TK4gsW-p6]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ゆふなch①}>>https://youtu.be/SrtOeNItas8?si=E-kHBrd3hHnYJem_]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ゆふなch②}>>https://youtu.be/k3oENBPdrt4?si=2ySW9bbeG-6jVL2E]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){にごんごch}>>https://youtu.be/wHN8QPS4zVM?si=3nnj1cGdAGlcARtU]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){なつめ先生ch}>>https://youtu.be/OBe2FUVq50A?si=1R3LaXwJK9aQyqjn]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){rprch①}>>https://youtu.be/S_GgN5f0tuo?si=rJJwVcSIB0ZeXkkd]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){rprch②}>>https://youtu.be/4faI7vSjbyE?si=g8jy5kw1gOViAE44]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){月夜見レオch①}>>https://youtu.be/LsLo6vfth-Q?si=jrFTo4fFb3lScu1g]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){月夜見レオch②}>>https://youtu.be/aNikoHoOXF8?si=xMkh-fqOCNcJmFmz]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){カイキングch①}>>https://youtu.be/uDxTKB1p06A?si=7QB_a2R-mSwev-JE]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){カイキングch②}>>https://youtu.be/dDZlreSmvhk?si=x89hK7TBWrAUtwaG]]|~[[Ura Ipura]]&br()[[ツクヨミ レオ>>ツクヨミ　レオ]]&br()[[山田 カイキ>>山田　カイキ]]|新たにura、レオ、カイキの3名が体験として受け入れられた。&br()長く停滞していたNO LIMITととしてのギャング活動が活発になるきっかけとなった。|
|~1月17日|~[[Ura Ipura]]/[[ツクヨミ レオ>>ツクヨミ　レオ]]/[[山田 カイキ>>山田　カイキ]]&br()仮採用決定|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){月夜見レオch}>>https://youtu.be/l3qVOWrLP_M?si=9I2IAf3-15awimHI]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){カイキングch}>>https://youtu.be/ND1dDJ50s6A?si=jD_oAjlpdOG9-H6Y]]|~|同時期に体験開始した三名が同時に仮採用決定となった。|
|~1月26日|~[[Ura Ipura]]正式採用|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){宙星ぱるch}>>https://youtu.be/cmfjoBX1fX8?si=Pe3vSPXfsYBFZcr2]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){かしわねこch}>>https://youtu.be/q7r8XjtsD0U?si=_Z91-hlCLVF8RbZu]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){みなみてってch}>>https://youtu.be/NTXKQ35C3bg?si=b0AXY7OJPNj3p7Q7]]|~[[Ura Ipura]]|新年最初の正式採用。|
|~2月2日|~[[山田 カイキ>>山田　カイキ]]正式採用|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch}>>https://youtu.be/io6ESilCtH8?si=odKKGBhT5IIVoghU]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){かしわねこch}>>https://youtu.be/PzX73MEM5HA?si=Td8DjNIVuDWavSrR]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){Sirrych}>>https://youtu.be/cicMyTgHtog?si=ne-e9Fp2RYePwoeD]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){PIRAch}>>https://youtu.be/zYvnndCYZs0?si=i_RsUngVvrkR2x46]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){にごんごch}>>https://youtu.be/mMw5mMmLJsA?si=vfR0_V6m5itJNOVY]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){カイキングch}>>https://youtu.be/hPyVx8KQG8I?si=NfRUXST1EJONpEtE]]|~[[山田 カイキ>>山田　カイキ]]|匿名投票の末合格。|
|~2月7日|~[[ツクヨミ レオ>>ツクヨミ　レオ]]正式採用|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){宙星ぱるch}>>https://youtu.be/bFDRTSmwB8A?si=xHu7vM5SzPP53RUM]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){かしわねこch}>>https://youtu.be/473P-Z4fajE?si=kWfsIq9JBp4DMbmr]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){あしさんりch}>>https://youtu.be/WT0er2zy69M?si=tUAIOvsqi0tCiuV3]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ゆふなch}>>https://youtu.be/7PZmkgwl87I?si=--haWJD6fWVqp51-]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){なつめ先生ch}>>https://youtu.be/B2wovQgzXug?si=WuOaQts6wV72rd8o]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){月夜見レオch}>>https://youtu.be/gz-zefdrcik?si=io5om4byBPZMZRBl]]|~[[ツクヨミ レオ>>ツクヨミ　レオ]]|居候を経て正式採用となった。|
|~2月9日|~vs.[[Trickster]]抗争①|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch}>>https://youtu.be/zIvq_wgmnUk?si=LqPPX4TWDayyBrjy]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){せるふぃch}>>https://youtu.be/9wyZtmqAu2c?si=VgEDwYzCxp3aQyo_]]|~[[四皇 シャンクズ>>四皇　シャンクズ]]&br()[[文殊 セイジ>>文殊　セイジ]]&br()[[ジョーカー>>半沢　直ふぃ]]&br()[[水嶋 じぇい>>水嶋　じぇい]]|通称「家パチ抗争」。[[ジョーカー>>半沢　直ふぃ]]が姉妹を轢いたため抗争に発展。「Z」1Ｆで2v2の銃撃戦。NO LIMITが勝利。|
|~2月27日|~ボス家出&br()vs.[[Trickster]]抗争②|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch①}>>https://youtu.be/ZBGNsSIYN_o?si=7Efszv3_bzLXlTNc]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch②}>>https://youtu.be/hvDJnuCFW2c?si=AU9RQXocp6rFqf0i]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){Sirrych}>>https://youtu.be/8mwt0gOKvdE?si=soFmcMbSm-8MjmA5]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){かしわねこch}>>https://youtu.be/-OhfHOx76zE?si=Xkv6a1yc7I3uPHzG]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){あしさんりch①}>>https://youtu.be/-gxd3JMbiJg?si=pVZ7rHfrriqt0Ye6]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){あしさんりch②}>>https://youtu.be/GusVfmf4Gck?si=DNjaTXYqD2UM6oci]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ゆふなch①}>>https://youtu.be/n0JfjNQMC0g?si=zDiXCUfad4yb8esz]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ゆふなch②}>>https://youtu.be/GvdIIQf_SO8?si=HS48PN0Z6e-AVjvc]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){月夜見レオch}>>https://youtu.be/VRXZT6q8pFU?si=X4sH-nZyY3wqD3zj]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){せるふぃch}>>https://youtu.be/QV7qP2Gvh5Y?si=8z89P8--nhS7E7Zv]]|~[[四皇 シャンクズ>>四皇　シャンクズ]]&br()[[けっつん 太郎>>けっつん　太郎]]&br()[[しょうがく SAY>>パス　トバリ]]&br()[[ようち えんじ>>パス　ヒソカ]]&br()[[待雄 サンリ>>待雄　サンリ]]&br()[[冬那　フナ]]&br()[[ちの まるこ>>赤色　にごう]]&br()[[文殊 セイジ>>文殊　セイジ]]&br()[[ハク ナツメ>>ハク　ナツメ]]&br()[[黒岩 るい子>>黒岩　るい子]]&br()[[ura ipura]]&br()[[ツクヨミ レオ>>ツクヨミ　レオ]]&br()[[ジョーカー>>半沢　直ふぃ]]&br()[[アドミゲス ハン>>アドミゲス　ハン]]&br()[[飯田 けんつ>>飯田　けんつ]]&br()[[菖蒲 光樹>>菖蒲　光樹]]&br()[[中川 蔵人>>中川　蔵人]]|度重なる食糧庫問題の末[[待雄>>街雄　サンリ]]の一言をきっかけに家出。unionを外しボス権限を[[ちの>>赤色　にごう]]へ譲渡した。その後[[Trickster]]に加入。&br()家出した[[シャンクズ>>四皇　シャンクズ]]を取り戻すために島を４つ賭けて抗争をしかけた。ルールはパシフィック銀行で&openclose2(show=攻防戦){(サプ必須グレ無しBO3)}。対する相手は&openclose2(show=ドリームチーム){(ジョーカー・シャンクズ・アドミゲス・けんつ・菖蒲・中川のギャンボス×3白パス所持×3)}。&br()NO LIMITが勝利。しかし、[[シャンクズ>>四皇　シャンクズ]]は仮採用での復帰となり、ボス権限は[[ちの>>赤色　にごう]]のままということになった。|
|~3月6日|~[[シャンクズ>>四皇　シャンクズ]]ボス復帰|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch}>>https://youtu.be/NwzxFYUkn20?si=LCOe3jtWA42D-KA0]]|~[[四皇 シャンクズ>>四皇　シャンクズ]]&br()[[ちの まるこ>>赤色　にごう]]|ボスを任されていた[[ちの>>赤色　にごう]]の提案でボス権限を[[シャンクズ>>四皇　シャンクズ]]に返還。その際新たに&openclose2(show=ルール){「10人以上メンバーが起きているときに３分の２以上の賛成でボスを下せる」}が作られた。|
|~|~[[NO LIMIT]]単独パシフィック初成功|&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch①}>>https://youtu.be/NwzxFYUkn20?si=bwMkFE204L_8WAzY]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ファン太ch②}>>https://youtu.be/k0hCYxsLLB4?si=DT9Y6G0SHVfdcOS5]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){月夜見レオch}>>https://youtu.be/hzXwNzfAsB4?si=ING0UHpFBulbrsZM]]&br()&font(#DA1725){&icon_fa(fa fa-youtube-play)} [[&font(#DA1725){ニョスch}>>https://youtu.be/cgvoUXCkyc8?si=faIgPNsb7OU_NH2s]]|~[[四皇 シャンクズ>>四皇　シャンクズ]]&br()[[丘猫 まる>>丘猫　まる]]&br()[[アルバート ポンデリン>>Albert　Pondering]]&br()[[チンピラ>>Lv.〇　チンピラ]]&br()[[ちの まるこ>>赤色　にごう]]&br()[[文殊 セイジ>>文殊　セイジ]]&br()[[ハク ナツメ>>ハク　ナツメ]]&br()[[黒岩 るい子>>黒岩　るい子]]&br()[[ura ipura]]&br()[[山田 カイキ>>山田　カイキ]]&br()[[ツクヨミ レオ>>ツクヨミ　レオ]]&br()[[那須 裕貴>>那須　裕貴]]|珍しく[[ALLIN]]が挑戦していなかったため&openclose2(show=傭兵ひとり){[[那須　裕貴]]}を加えて挑戦。結果は、歪み中断などあったがほぼ&openclose2(show=全回収){(一カ所の回収忘れを除いた3億9000万)}の利確をし成功となった。|
