***&color(#4682B4){&icon_fa(fa-solid fa-dice)}&space()&bold(){当選者、車両一覧、参加人数、一般販売時期}
過去の抽選会で出品された車両と当選者は下表のとおりです
#region(開く)閉じる
#table_style(head=center:#E0E0E0){開催回=center,価格=right,参加者数=right}
|~開催回|~開催日|~車両名|~車両ID|~価格|~当選者|~参加者数|~販売時期|h
|第1回|2024/08/29|Benefactor Hotring Weevil|KANACAT1|105,000,000円|[[亀山　HERO>>焼野原　ひろし]]|17人|2025/05/08|
|第2回|2024/09/05|Annis Roxanne|KNRXN001|300,000,000円|[[稲葉　ゴン]]|9人||
|第3回|2024/09/12|Annis Kawaii|RBT00001|150,000,000円|[[万十　忍]]|10人|2025/06/05|
|第4回|2024/09/19|Vulcar Warrener HKR WideBody|RBT00003|100,000,000円|[[ニャンコ・スキー]]|9人||
|第5回|2024/09/26|Principl Shafie|RBT00004|150,000,000円|[[雷堂　ましろ]]|11人||
|第6回|2024/10/03|Nagasaki RubberDUCK! Boat|RBT00005|30,000,000円|[[魚参　屋]]|37人||
|第7回|2024/10/10|Mil-Spec Patriot Military|RBT00006|180,000,000円|[[柳瀬　つん]]|27人||
|第8回|2024/10/17|Annis Elegy RH-7|RBT00007|300,000,000円|[[Lv〇　チンピラ]]|40人|2025/03/14|
|第8回|2024/10/17|Annis Elegy RH-7|RBT00008|300,000,000円|[[日之　ぱちお]]|15人|2025/03/14|
|第9回|2024/10/24|Vysser Dalia| RBT00009| 60,000,000円|[[パキ　ち]]|9人||
|第10回|2024/10/31|Dinka Jester MK4 Custom|HLWN2024|100,000,000円|[[ミン　ドリー]]|44人||
|第11回|2024/11/07|Karin sigma2|RBT00010|20,000,000円|[[加藤　圧]]|13人|2025/06/12|
|第12回|2024/11/14|Pfister Astron CTX|RBT00011|250,000,000円|[[ねずみさん>>えぐち　きの子]]|14人||
|第13回|2024/11/21|Declasse Yosemite SWB|RBT00012|80,000,000円|[[ねずみさん>>えぐち　きの子]]|12人||
|第14回|2024/11/28|Annis ZR-380 Sports|RBT00013|100,000,000円|[[アルフォート　ウェスカー]]|11人||
|第15回|2024/12/05|Annis S-230|RBT00014|20,000,000円|[[いわさき　そす]]|7人|2025/05/29|
|第16回|2024/12/12|Mil-Spec Patriot Military|KANA1212|180,000,000円|[[切間　てつお]]|13人||
|第17回|2024/12/19|Enus Paragon S|RBT00015|100,000,000円|[[トウ　ユン]]|19人|2024/12/19|
|第17回|2024/12/19|Chrismas Mobile|XMASMOBI|100,000,000円|[[ハンク>>アーモンド　サラザール]]|54人||
|第18回|2024/12/26|Enus Paragon Offroad|RBT00017|100,000,000円|[[猪狩　翔太]]|8人||
|第19回|2025/01/02|Pegassi Zentorno CTX|RBT00018|5,000円|[[ジョーカー>>半沢　直ふぃ]]|61人||
|第19回|2025/01/02|Pegassi Zentorno CTX|RBT00019|600,000,000円|[[箱根　しおん]]|60人||
|第20回|2025/01/09|Arcida EtoMe|RBT00020|20,250,000円|[[星乃　すみ]]|59人||
|第20回|2025/01/09|Arcida EtoMe|RBT00021|20,250,000円|[[フェアリー　トピオ]]|59人||
|第21回|2025/01/16|Vulcar Warrener HKR WideBody |RBT00022|100,000,000円|[[葛城　司]]|31人||
|第22回|2025/01/23|Benefactory Surfur Custom|KANAWBUS|23,000,000円|[[星野　ももあ]]|31人||
|第23回|2025/01/30|Weeny Brisket Classic|RBT00023|40,000,000円|[[亀山　HERO>>焼野原　ひろし]]|34人|2025/07/10|
|第24回|2025/02/06|Gallivanter Peacemaker XL|RBT00024|100,000,000円|[[ブラック　ジャックス]]|29人||
|第25回|2025/02/13|Coil E-Bike|RBT00025|214円|[[毒多　博士]]|37人|2025/02/14|
|第26回|2025/02/20|Mil-Spec Patriot Military|RBT00026|180,000,000円|[[ねずみさん>>えぐち　きの子]]|8人||
|第27回|2025/02/27|Karin Terenowa|RBT00027|100,000,000円|[[緋赤　まい]]|17人||
|第28回|2025/03/06|Karin Sultan BE|RBT00028|100,000,000円|[[豆　やん]]|13人|2025/08/14|
|ゲリラ1回目|2025/03/12|Declasse Lemoneuro|RBT000XX|30,000,000円|[[ハク　ナツメ]]|25人||
|第29回|2025/03/13|Karin Vivante LE|RBT00029|300,000,000円|[[山田　パルコ]]|39人|2025/05/16|
|第30回|2025/03/21|Coil E-Truck|RBT00030|14,170,000円|[[五十嵐　えいむ]]|44人||
|第31回|2025/03/27|Annis Elegy RH6|RBT00031|300,000,000円|[[ぺん　ゆきや]]|34人||
|第31回|2025/03/27|Annis Elegy RH6|RBT00032|300,000,000円|[[加藤　圧]]|9人||
|第32回|2025/04/03|ディレタンテDX|RBT00033|35,000,000円|[[切間　てつお]]|12人||
|第32回|2025/04/03|ディレタンテDX|RBT00034|35,000,000円|[[ミン　ドリー]]|8人||
|第33回|2025/04/10|Argento SW|RBT00035|80,000,000円|[[パキ　ち]]|15人||
|第33回|2025/04/10|Argento SW|RBT00036|80,000,000円|[[ももみ　マルフォイ]]|20人||
|第34回|2025/04/17|Progen T20 FDR|RBT00037|800,000,000円|[[ももみ　マルフォイ]]|33人||
|第34回|2025/04/17|Progen T20 FDR|RBT00038|800,000,000円|[[アヌギフ　白川]]|19人||
|第35回|2025/04/24|Karin S95|RBT00039|50,000,000円|[[アルフォート　ウェスカー]]|39人||
|第35回|2025/04/24|Karin S95|RBT00040|50,000,000円|[[二部　らるたる]]|21人||
|第36回|2025/05/01|LCC Stockholm|RBT00041|200,000,000円|[[猪狩　翔太]]|9人||
|第36回|2025/05/01|LCC Stockholm|RBT00042|200,000,000円|[[もり　るんるん]]|13人||
|第37回|2025/05/08|Pegassi Reaper Custom|RBT00043|300,000,000円|[[丸井　まる]]|24人||
|第37回|2025/05/08|Pegassi Reaper Custom|RBT00044|300,000,000円|[[タシロ　カワセ]]|33人||
|第38回|2025/05/15|Pico Turbo|RBT00045|100,000,000円|[[捌木　たいたい]]|13人||
|第38回|2025/05/15|Pico Turbo|RBT00046|100,000,000円|[[豆　やん]]|17人||
|第39回|2025/05/22|Ūbermacht CypherⅡ|RBT00047|150,000,000円|[[須藤　冬馬]]|8人||
|第39回|2025/05/22|Ūbermacht CypherⅡ|RBT00049|150,000,000円|[[大　川]]|10人||
|第40回|2025/05/29|Karin LostarLE|RBT00050|100,000,000円|[[鳥野　ぎん]]|10人||
|第40回|2025/05/29|Karin LostarLE|RBT00051|100,000,000円|[[エスターク・Z・ダークネス]]|18人||
|第41回|2025/06/06|Declasse Vigero ZX CTX C2|RBT00052|700,000,000円|[[月乃　えるな]]|2人||
|第41回|2025/06/06|Declasse Vigero ZX CTX C2|RBT00053|700,000,000円|[[葛城　司]]|5人||
|第42回|2025/06/12|Annis RH8 Wagon|RBT00054|150,000,000円|[[味野　環九郎]]|6人||
|第42回|2025/06/12|Annis RH8 Wagon|RBT00055|150,000,000円|[[加藤　圧]]|9人||
|第43回|2025/06/19|Progen Hurricane|RBT00056|330,000,000円|[[Ueno　Kamiya]]|26人||
|第43回|2025/06/19|Progen Hurricane|RBT00057|330,000,000円|[[Super　Subaru]]|13人||
|第44回|2025/06/26|Grotti Consanguinea|RBT00062|100,000,000円|[[小豆　最中]]|19人||
|第44回|2025/06/26|Grotti Consanguinea|RBT00063|100,000,000円|[[パン　チャン]]|16人||
|第45回|2025/07/03|Dinka Urba|RBT00060|30,000,000円|[[ラグランジュ　光芝]]|17人||
|第45回|2025/07/03|Dinka Urba|RBT00061|30,000,000円|[[豆　やん]]|14人||
|第46回|2025/07/10|Pegassi Toros CTX|RBT00066|400,000,000円|[[五十嵐　えいむ]]|13人||
|第46回|2025/07/10|Pegassi Toros CTX|RBT00067|400,000,000円|[[奈落　破滅]]|12人||
|第47回|2025/07/17|Emperor Vectre CTX|RBT00068|140,000,000円|[[ジャムリーヌ　バルサミコス]]|20人||
|第47回|2025/07/17|Emperor Vectre CTX|RBT00069|140,000,000円|[[イナ　イロハ]]|20人||
|第48回|2025/07/24|Weeny Issi Jolly|RBT00070|100,000,000円|[[オスカー・ローラン]]|9人||
|第48回|2025/07/24|Weeny Issi Jolly|RBT00071|100,000,000円|[[よりどり　みどり]]|13人||
|第49回|2025/07/31|Dinka Sugoi CTX|RBT00072|250,000,000円|[[大　川]]|16人||
|第49回|2025/07/31|Dinka Sugoi CTX|RBT00073|250,000,000円|[[ねずみさん>>えぐち　きの子]]|7人||
|第50回|2025/08/07|Pegassi WarFrame|RBT00074|100,000,000円|[[霜月　ろっぷ]]|21人||
|第50回|2025/08/07|Pegassi WarFrame|RBT00075|100,000,000円|[[捌木　たいたい]]|14人||
