***8月27日（木）「警察は間違えちゃったんだ道を、後悔させてやろうぜ」&co(){by まる}
#region(開く,open)
#size(80%){#table_style(head=#e6e6fa:center,hover=#ffffeb){}
#table_filter(){時刻=show,関連=show,出来事=show,詳細=hide,備考=hide,動画=hide}
//
|~時刻|~関連|~出来事|~詳細|~備考|~動画|h
|19:00|新聞社|LOS NEWSに植木鉢販売の記事が掲載||||
|19:15|すずり🌱|🌱&bold(){すずりが種を栽培}||||
|19:37|ぱちお|昨夜不在だったぱちおにえびすから情報共有|・ももみから「種」を回収できた&br()・今日から署長が育てて真相を探る&br()・重要参考人はすずり、もう1人がわからない（えびすがまるの事を隠した？）|||
|19:41|警察|命田よりLOS NEWS共有&情報共有|（ぱちお・えびす・味野・キャップ）&br()・街雄がTwiXで見つけていたから出たのだろう、誰から連絡があったか聞いてもいいと思う&br()・新聞に出たから警察も情報を聞きやすくなる&br()・種を出すように果物捌きナイフがあるんじゃないかと思っている&br()・果物をいっぱい食ったら種が出るんじゃないかと斎藤が食べていた。ぱちおも30個ずつ食べたけど出なかった&br()|||
|20:14|まる|まるが警察の手荷物検査から逃走|・警察から逃げる上田に「花」を持った状態で巻き込まれた&br()・おパンティ持ってるから嫌だでキャップに見逃してもらった|||
|20:29|ぱちまる|まるが今後花をどうするのかぱちおと話し合い|・増やしたい、高値になるかもしれない&br()・無馬との会話を共有（ペナルティはない）&br()・警察にサンプルとして花を渡すのは構わない&br()・まるが捜査線上に挙がっている&br()・早々に出頭すれば煩わしいことはなくなるがしゃばい&br()・まるとぱちおが仲が良いことを知っている警官にぱちおも疑われている&br()・仲たがいしてみてもいい&br()&br()・一時種は育てずに警察の好きにさせてどんな動きをするか見たい&br()・軍事基地でももみに変装した状態で見られているため、無意味に北をふらついてもいい&br()・仲たがい事情聴取のシミュレーションをするが、ただの痴話げんかになった&br()・必要があれば警察に応じる|||
|20:37|警察|&bold(){真島がキャップにぱちおとの秘密の共有を暴露&告発相談}|・ぱち先が種持ちを見つけたと言ってきたが、現状「種」というワードを使わないと見つけられないため、&br()&space(3)&bold(){情報漏洩}をしていると思われる&br()・あと4日で退職予定ではあるが、関係ない。真島は転送直前に同期の胡將に対しても告発した&br()・警察として警察内部で外れていることはダメだと思う&br()・&bold(){警察会議で探りを入れて本人が隠すようなら断罪することをキャップが許可した}（本人欠席予定）&br()・情報を得たのは良いが、それとこれとは違う&br()・単独行動をしている。街にいるが、時折退勤して何かしている&br()・「真島にしか言わないから内緒に」は&bold(){隠蔽}に当たると糾弾&br()・ぱち先が優しさでやってくれているのは重々承知だが警察の道理に反していることは違うと思う&br()&br()真島「ぱち先からの信頼を500%くらい失うけど、しょうがないよね！」&br()キャップ「しょうがないよ、ぱちおしくじったんだから」&br()&br()・&bold(){救急隊の隊長が情報収集している}&br()・捜査情報を知らない救急隊がやるのはリスクがある&br()・救急が上官だけに情報を留めているのも意味が分からないから全員に共有させろ、めんどくさい&br()・仮にぱちおが漏洩していたら、救急に伝えて隊長の情報収集を辞めさせろ&br()・ぱちおはやってんだろ、そんなすぐ見つかんねぇだろ、ももみでも秘匿にしてた|※この街にパワーハラスメント防止措置義務はない&br()&br()【8/23会議より、矛盾】&br()・「種」の捜査をしていることを公にしたくないため、「種」をNGワードにする&br()・（真島）&bold(){最終的にこの子が種を持っているのが確定なんじゃないかとなったら、対象者に「種」の話を聞いていい}&br()・（真島）&bold(){NGワード漏洩以外なら署員各々の市民交流、各々のやり方で捜査してよい}||
|21:05|まる|📞まるがイチカから無馬に売られそうになる|・イチカが無馬のうまい話をまるから聞いたって言っていい？と聞いてきた&br()・植木鉢が売っていることは拡散しているが、無馬がおいしい話に乗る白市民を探していたことは&br()&space(3)イチカにしか言っていないため、まるが言いふらしてる様に言うのはやめて欲しいと頼む&br()・無馬からの話に踏み込んで白のままでいれるかは分からないと注意する|||
|21:10|まる|まるがナツメにイチカの事を相談する|・怖い&br()・流石に元黒だし大丈夫だろうと思っていた&br()・イチカは大丈夫でも、こっちにリスクがある&br()ナツメ「まるちゃん、君は人を見る目がない」|||
|21:11|ぱちお|昨夜不在だったぱちおに斎藤から情報共有|・黒に漏れている。ライアンが植木鉢のことを話し、花栽培を匂わせるようなことを言っていた&br()&space(3)・斎藤の見解、街雄のNO LIMIT繋がりで、まる、すずり繋がりでけんつから漏れているんじゃないか&br()・（ぱちお）黒の交友関係はまるよりけんつの方が多い。まるは広く浅く。俺は聞いていない&br()・ぱちおがもし種を持っているけんつだったら、まず鉢植えの情報をいろんな人に話す。&br()&space(3)「木を隠すなら森」まるはやらない&br()・街雄がタクシーに乗せた変装の人がけんつだった説&br()・まるに聞いているが行動が怪しい。北や砂漠にいたり、仕掛けた物探しゲームもシカトされた|||
|21:17|無馬|無馬が[[天草>天草　蒼]]に種について質問される|・天草「種ってなんですか？」&br()・種の話は誰に聞いた？&br()・銭形から聞いたらしい&br()・銭形を探すが起きていなかった&br()&br()「早かったですなぁ広まるのは」|||
|21:20|まる|📞まるがイチカに名前を出さないで欲しいと頼む|・無馬にうまい話のことを聞くことは決定らしい&br()・果物の種について無馬に聞こうとしていた&br()・最悪のことを想定している、聞いて欲しくないとだけ言っておく&br()・どうなっても自分で責任を取ってくれ、まるは責任は取れない&br()&br()言いふらしたツケが回って来たなぁ…|||
|21:21|ぱちお|📞ぱちおが真島にまるが北に行くと言っていたと伝える|・まるが今日は北に行くと言っていた&br()・まだ警戒されていて話してくれない&br()&br()（ぱちお「ぐちゃぐちゃにしている警察を、俺は。ごめん！！！でも汚職してないから！！！&br()&space(3)まるが楽しめるようにするのが俺の一番の役目なんだ！ごめん！！！）|||
