***9月9日（水）「花束の成分分析は花の成分分析と一緒でしょ？！」&co(){by よつは}
#region(開く,open)
#size(80%){#table_style(head=#e6e6fa:center,hover=#ffffeb){}
#table_filter(){時刻=show,関連=show,出来事=show,詳細=hide,備考=hide,動画=hide}
//
|~時刻|~関連|~出来事|~詳細|~備考|~動画|h
|19:17|花屋🌱|🌱&bold(){ぱちまるが「SEED-00」（パレア）を栽培}|・3鉢同時栽培|||
|19:22|花屋|ぱちまる花屋会議|・対外的な情報開示の範囲を確認&br()・滅論、ひまわり出禁（ぱちおは話さない）&br()|||
|20:36|花屋🌱|🌱&bold(){ぱちまるが「無名の花」16個、20個、22個と「SEED-00」を3個収穫（パレア）}||||
|21:05|警察|バーバリアン田中がCheapから3種類の種を購入|・「ひまわりの種」「Seedの種」「KAKIの種」を各々100万円で購入&br()・覆面をしていたが、どう見ても高橋滅論がいた|||
|24:35|ぱちまる|ぱちまるが上田からおもろ情報を聞く|・Cheap活動は旬を過ぎた。バァバが欲しがったから種を売った&br()・わくハー新メンバー、モーガン&br()・花束のクラフト台&br()・7か月前に滅論が木こりで大量にローリングペーパーを溜め込んでいた&br()・汚職木こりがいる可能性&br()・話のついでに、まるが共有し忘れていた従来の花（ハッピーフラワー）、アシッド、水の存在をぱちおに共有&br()・上田が偽物の花を作ってぐちゃぐちゃにしてやろうと言っていたため、アイデアを与える&br()・滅論に言ったら焦っていたらしい。まる「詰められてるやん」DEPに詰められていた&br()・Cheapで種をけんつに売ったら偽札を使われたらしい&br()&space(3)・警察にたれ込むように勧める&br()|||
|25:23|市役所|市役所より島中にばらまかれた荷物回収の依頼&br()市民が宝さがしに夢中になる|【市民の方へご協力のお願い】&br()&space(3)この度、市が発注した部品を乗せた航空&br()&space(3)機が荷物をばらまいてしまいました✋&br()&space(3)😣市役所ロビーの左にいる新しい心なき&br()&space(3)職員に話しかけると[上空写真]を貰えま&br()&space(3)す。そちらを頼りに探していただけない&br()&space(3)でしょうか🙇‍♀️💦お礼も考えておりま&br()&space(3)す。何卒お力をかしていただければと思&br()&space(3)います🥹🙌|||
|25:28|警察|&bold(){警察が滅論を伴い、花束を作る}|・ぱちお情報（捏造）を持ってくる滅論に恩を売るため、滅論の司法取引に応じる&br()・すでにるんるんが見つけていた花束のクラフト台に滅論に案内され、&br()&space(3)警察が用意した花と滅論が用意したプラスチックとローリングペーパーで花束を1つ作成&br()・花束を成分分析にかけ、危険性がなければ滅論に渡し、新聞記事にすることを許可する|||
|25:42|滅論|滅論がキャップにぱちおに調査を依頼したと話す|・ぱちおは警察発表以上の事は知らない風だった&br()・花を30本用意するのは大変とぱちおが言っていた（思い込み捏造）を再度伝える&br()・警察時代の情報じゃないらしい&br()・依頼を受けてくれたが、何も出て来ないですよと言われた&br()・依頼者が漏らしていることについてキャップがぱちおの探偵業を嘲笑&br()・種を持っていそうな人（まる）が警察の動向を気にしているとリーク。この人に関しては言わない|||
|25:58|警察|&bold(){警察が花束の成分分析を救急隊に依頼}|よつはとかげまるに正論を返されるが依頼する|||
|26:09|花屋|花屋が明日の栽培の自粛決定|街中に荷物がばらまかれ、市民が探し回っているため、明日の栽培を中止とする|||
//
#table_sorter{even=#F7F7F7,odd=#FFFFFF}}
#endregion(0909)
//横に伸びすぎないように適宜改行してください：&br()&space(3)
//
***9月10日（木）「ルイちゃんのペナルティはどうでもよくなってしまっているのかもしれない」&co(){by ぱちお}
#region(開く,open)
#size(80%){#table_style(head=#e6e6fa:center,hover=#ffffeb){}
#table_filter(){時刻=show,関連=show,出来事=show,詳細=hide,備考=hide,動画=hide}
//
|~時刻|~関連|~出来事|~詳細|~備考|~動画|h
|19:32|ぱちお|📞ぱちおの探偵事務所に滅論から依頼キャンセル|・滅論は言えない相手から種か花を手に入れたらしい&br()・花束以外の使い道の依頼についてももういいらしい&br()&br()（ぱちまる考察）&br()・警察が滅論に花を流出したとしか考えられず、警察の捜査方針に困惑&br()・滅論に花束を作らせて何かしようとしている？&br()・外部に不審物を渡しているが、自分たちはいいのか？滅論は犯罪者である。&br()・真島のペナルティより花の真相の方が知りたいのだろう|||

//
#table_sorter{even=#F7F7F7,odd=#FFFFFF}}
#endregion(0910)
//横に伸びすぎないように適宜改行してください：&br()&space(3)
//
***9月11日（金）「え？！種が1個も増えてないの？！？！」&co(){by セイジ}
#region(開く,open)
#size(80%){#table_style(head=#e6e6fa:center,hover=#ffffeb){}
#table_filter(){時刻=show,関連=show,出来事=show,詳細=hide,備考=hide,動画=hide}
//
|~時刻|~関連|~出来事|~詳細|~備考|~動画|h
|19:18|花屋🌱|🌱&bold(){ぱちおが「SEED-00」（パレア）を栽培する}|3鉢同時栽培|||
|20:36|花屋🌱|🌱&bold(){ぱちまるが「無名の花」20個、12個、9個と「SEED-00」を3個収穫（パレア）}|変異：0回/19回栽培|||
|21:29|ぱちお|ぱちおが喫茶店の客のるんるんと話す|・店の周りに黒ずくめの人がうろついているからパトロールを強化してと頼む&br()・ナスみたいな黒髪の頭ではなかったかといわれた&br()・るんるんがBJローンに入社したらしい&br()（BJローンで物件が買えなくなった）|||
|21:44|市役所|市役所より、荷物を落とした航空機の飛行ルートが公表された&br()※ 島全域に渡り、花屋の天敵となる|【物資について】&br()&space(3)捜索をお願いしている荷物について、&br()&space(3)当日の航空機飛行ルートが判明したので&br()&space(3)共有させていただきます🛩✨捜索の手が&br()&space(3)かりにご活用ください🙌😊山付近では&br()&space(3)急な斜面など危険な場所もございますの&br()&space(3)でくれぐれもお気をつけください🙇‍♀️💦&br()|||
|23:39|花屋🌱|🌱&bold(){ぱちまるセイジが「SEED-00」（パレア）を栽培する}|・3鉢同時栽培&br()・これで22回植えているが、種が1個も増えていない事をセイジに伝える。驚愕していた|||
|23:47|まる|📞まると滅論の探り合い（1時間）|（互いに種と花を探る同志の情報共有風探り合い）&br()・滅論が手に入れた花30個は加藤に渡したいらしい&br()・入手経路は警察ではないらしい&br()・警察だとしても言えないらしい&br()・加藤に見せた時の反応を見て探ろうとしていた&br()&br()・警察の誰が捜査に関与しているか等の情報を滅論がリーク&br()&space(3)&br()・依頼を伏せ、バロウズを知らないかと滅論に訊くが知らなかった&br()・Cheapにわくハーが関与していることを隠していたため、&br()&space(3)上田から聞いている、けしかけたのはまるだと教える（滅論は嘘がうまいと認識）&br()・ギャングもDEPも情報を持っていない、無馬が1人でやっていることなんじゃないか、無馬怖い案件&br()・無馬がうまい話と言っていた辺りから警察が騒がしくなった&br()・DEPの設立は無馬ではなく加藤らしい&br()・滅論は色々あって無馬と揉めたらしい&br()・育て方や肥料や場所を変えたら花の成分や、色が変わるという警察からの機密情報があったらしい&br()・話の流れで「突然変異」のワードを出した&br()&br()（滅論「まるは警察の動向が気になるようだ。花を持っていてもおかしくない&br()&space(3)まるが助かるなら警察から口止めされてない情報は教えてあげてもいい」）|||
|24:50|花屋|ぱちまるセイジ花屋会議|・まるから滅論との会話を情報共有&br()・（ぱちお）警察から貰っていないは嘘だと思う&br()&space(3)・警察があげるメリットは情報&br()&space(3)・現状危険なものではないためあげてもいいと俺だったら判断する&br()&space(3)・（まる）でも俺がいないよ？&br()・滅論とやり取りをしているのはキャップだろう&br()&space(3)・滅論にあげました？と警察に言ってもいいが、自分たちから接触するメリットがない&br()&br()・半グレに花育てをさせるようにしたいが、そこから加藤に流されたりしたら困る&br()・半グレより上の立場でいないといけない&br()・加藤の花の買取が花屋だけになるようにしないといけない&br()・信頼のない半グレはちょろまかす&br()&br()・滅論は嘘がうまい事が判明|||
|24:57|花屋🌱|🌱&bold(){ぱちまるが「無名の花」5個、18個、20個と「SEED-00」を3個収穫（パレア）}|変異：0回/22回栽培|||
