&image(ToY_ロゴ_231125.jpg,x=320)

#slide_img(auto=3,width=320,height=180){ToY_店内_231206.jpg,Toy_店内_1.png,Toy_店内_2.png,Toy_店内_4.png}

#table_style(hover=#ffffff:#fde876)
|BGCOLOR(#fde876):|>|>|BGCOLOR(#ffffff):|BGCOLOR(#fde876):|
|BGCOLOR(#ffffff):|MIDDLE:CENTER:店名|BGCOLOR(#fde876):COLOR(#ffffff):MIDDLE:CENTER:&icon_fa(fa fa-school)|&space()&space()&ruby(トイ){ToY}|BGCOLOR(#ffffff):|
|~|MIDDLE:CENTER:業種|BGCOLOR(#fde876):COLOR(#ffffff):MIDDLE:CENTER: &icon_fa(fa fa-graduation-cap)|&space()&space()飲食店：食堂&space()&space()|BGCOLOR(#9370db):~|
|~|MIDDLE:CENTER:開業日|BGCOLOR(#fde876):COLOR(#ffffff):MIDDLE:CENTER: &icon_fa(fa-solid fa-calendar-plus)|&space()&space()2023年 11月27日&space()&space()|BGCOLOR(#9370db):~|
|~|MIDDLE:CENTER:所在地|BGCOLOR(#fde876):COLOR(#ffffff):MIDDLE:CENTER: &icon_fa(fa fa-map-location-dot)|&space()&space()7183番地|BGCOLOR(#9370db):~|
|~|MIDDLE:CENTER:オーナー|BGCOLOR(#fde876):COLOR(#ffffff):MIDDLE:CENTER: &icon_fa(fa fa-black-tie)|&space()&space()[[鳥野　ぎん]]&space()&space()|BGCOLOR(#9370db):~|
|~|MIDDLE:CENTER:店長|BGCOLOR(#fde876):COLOR(#ffffff):MIDDLE:CENTER: &icon_fa(fa fa-user fa-fw)|&space()&space()[[ナイチン　ガール]]&space()&space()|BGCOLOR(#9370db):~|
|BGCOLOR(#fde876):|>|>|BGCOLOR(#ffffff):|BGCOLOR(#fde876):|

#region(目次を開く,open)目次
#contents(fromhere=true,level=2)
#endregion
**&font(25px,#FDCFDA){&icon_fa(fas fa-edit)} 基本情報
-学校給食をコンセプトとした食堂で、[[ロスサントス救急救命隊]]の隊員により運営されている。
--給食がメインだが学校や学生に関する商品も取り扱う。救急隊グッズも検討されている。
--漢字テストや実力テストなど、学校っぽさのあるイベントを不定期で開催する。
-店舗名の"ToY"は"Taste of Youth"の略称で"青春の味"という意味。
-居抜き物件の為か、店の看板には「pearls n tea」「珍珠和茶」の文字とタピオカティーの絵が描かれている。
--就職面接の際、「珍珠和茶」の読み方を聞くことが通例になっている。
-支払い方法は従来の請求書の他、店員がレジスターを打つことによりレジスターからの支払いも可能。なお、レジスターの売上は店舗に全額入る。
--店舗用の宿直室を導入することを経営の一つの目標としているため、お店にお金が入るよう基本的にレジスターを使用することとした。
-店内BGMは[[フランシスコ　マグナム]]が制作した”もぐもぐ オルゴールバージョン”。
-1時間に1度チャイムが鳴る。(TVにメニュー表示中)
-11/29から"おかわりジャンケン"サービス開始。注文したグループ内でジャンケンをして勝った1名が給食10個無料でおかわりできるというもの。
-2023年12月6日の公務員の忘年会はここで行った。（なか卯ヘイスト）
-2024年10月27日開催の『みんな寄っTOYで！ピルボックス学園祭』のパブリックビューイングが店舗内にて行われた。

【　追記･編集 歓迎です。 】
**&font(25px,#93c9ff){&icon_fa(fas fa-users)} 従業員情報
***従業員
#region(Season1,open)&font(#444444,b){Season1}
#table_style(head=center:#E0E0E0)
|~役職|~名前|~制服テーマ|~就職日|~備考|h
|&b(){店長}|[[ナイチン　ガール]]|給食のおばちゃん|2023/10/20|ToYの発起人。お客さんの退店時には「お残しは&br()許しまへんで〜」の決まり文句で送り出してくれる。|
|&b(){オーナー}|[[鳥野　ぎん]]|用務員・ウザめの数学教師|2023/10/20|開業の共同出資者|
|店員|[[ももみ>ももみ　マルフォイ]]|授業参観にきた母&br()原付で通勤する学生|2023/10/20||
|店員|[[加賀　イズミ]]|生徒|2023/10/20|メニュー開発・チラシ等のイラスト担当|
|店員|[[命田　守]]|体育教師|2023/10/20||
|店員|[[箱根　しおん]]|用務員|2023/10/20||
|店員|[[ヘスティア　ゴデス]]|生徒|2023/10/20||
|店員|[[葉風邪　ナイ]]|生徒|2023/11/27|臨時バイトで時々お手伝いにくる|
|店員|[[吉田　ユッカ]]|理科教師|2023/11/27||
|店員|[[雷堂　ましろ]]|国語教師|2023/11/27|"熱々"を日本の東海地方の方言で言うことを勧めている|
|店員|[[天羽　よつは]]|保健室の先生|2023/11/27|ToYオリジナル企画のテストを主催している|
|店員|[[赤兎　がみとも]]|校庭の隅で飼っている兎|2023/11/29|公務員兼務のため一時休職中|
|店員|[[神崎　治]]|窓辺で外見ながら音楽聞いてる奴|2023/11/30|面接で問われる「珍珠和茶」の読み方で唯一のガチ正答者|
|店員|[[伊藤　カテジ]]|通学路おじさん|2023/12/01||
|店員|[[橘　かげまる]]|道徳・倫理教師|2023/12/07||
|店員|[[朱雀　愛未]]|同期生徒|2024/04/03||
|店員|[[元難波　登]]|同期生徒|2024/04/03||
|店員|[[サンクチュアリ　たえこ]]||2024/06/28||
//|店員|[[フランシスコ　マグナム]]||2023/12/XX||
//|店員|[[ノビー　ラング]]|ヤンキー|2024/02/XX||
#table_autoincrement()
#table_sorter{even=#F7F7F7,odd=#FFFFFF}
#endregion
//ボスメニューの従業員リストに載っている人を記載（兼業で一時的に抜けてる人も含む）。
//就職日はボスメニューでの雇用日としています。
//日付は29時(am5時)更新として記述しています。
//従業員の変更があれば「参加者一覧」への反映もお願いします
//

***退職者
#region(一覧)閉じる
#table_style(head=center:#E0E0E0)
|~名前|~就職日|~最終出勤日|~備考|h
|[[タシロ　カワセ]]|2023/12/04|2024/02/09|元々の志望である個人医になるため救急隊を退職|
#table_autoincrement()
#table_sorter{even=#F7F7F7,odd=#FFFFFF}
//
//***職業体験者
//#table_style(head=center:#E0E0E0)
//|~名前|~体験開始日|~備考|h
//|[[名　前]]|yyyy/mm/dd||
//#table_autoincrement()
//#table_sorter{even=#F7F7F7,odd=#FFFFFF}
//
#endregion
//

【　追記･編集 歓迎です。 】
**&font(25px,#FDCFDA){&icon_fa(fa-solid fa-box-tissue)} 商品情報
***&u(){&font(18px,#FDCFDA){&icon_fa(fa fa-square)}&space()商品リスト}
- 白市民パスを持っていると安くなる。
#region(Season1)&font(#444444,b){Season1}
#table_style(head=center:#E0E0E0){#=center,種類=center,価格=right,登録者=center,登録日=center,提供開始日=center,備考=12px}
#table_filter(){#=hide,種類=show,価格=show,登録者=hide,登録日=hide,提供開始日=hide,備考=show}
|~#|~種類|~商品名と商品説明|~価格|~登録者|~登録日|~提供開始日|~備考|h
|1|Food|&b(){金曜日のカレーライス}（KINCurryRice）&br()&size(11){金曜日のカレーライス}|50000円|[[加賀　イズミ]]|2023/11/25|2023/11/27||
|2|Food|&b(){きなこ揚げパン}（AGEpan）&br()&size(11){みんな大好き！きなこ揚げパン}|50000円|[[加賀　イズミ]]|2023/11/25|2023/11/27||
|3|Food|&b(){フルーツポンチッチ}（FruitsPontitti）&br()&size(11){星型の杏仁豆腐が入ったフルーツポンチッチ}|50000円|[[加賀　イズミ]]|2023/11/25|2023/11/27||
|4|Drink|&b(){ナ印のやさしい牛乳}（GyuNyu）&br()&size(11){ナ印のやさしい牛乳}|50000円|[[加賀　イズミ]]|2023/11/25|2023/11/27||
|5|Drink|&b(){熱々のやかん麦茶}（YakanMugitya）&br()&size(11){熱々のやかん麦茶}|50000円|[[加賀　イズミ]]|2023/11/25|2023/11/27|熱々と書いてちんちんと読む(愛知の方言)|
|6|Relax|&b(){ポッカポカイロ}（pokkapoKAIRO）&br()&size(11){ポッカポカイロ}|50000円|[[加賀　イズミ]]|2023/11/30|2023/12/01|冬限定|
|7|Food|&b(){ABCスープ}（ABC-Soup）&br()&size(11){英字マカロニが入ったミネストローネ}|50000円|[[加賀　イズミ]]|2023/12/03|2023/12/04||
|8|Food|&b(){冷凍みかん}（REITOU MIKAN）&br()&size(11){冷凍みかん}|50000円|[[加賀　イズミ]]|2023/12/03|2023/12/04||
|9|Food|&b(){焼きそばパン}（YAKISOBA PAN）&br()&size(11){焼きそばパン}|50000円|[[加賀　イズミ]]|2023/12/27|2023/12/27||
|10|Drink|&b(){サイエンスクリームソーダ}（SAIENSU KURIMUSOODA）&br()&size(11){サイエンスクリームソーダ}|50000円|[[加賀　イズミ]]|2023/12/27|2023/12/27||
|11|Relax|&b(){授業で作ったべっこう飴}（ZYUGYOUDETUKUTTA BEKKOUAME）&br()&size(11){授業で作ったべっこう飴}|50000円|[[加賀　イズミ]]|2023/12/27|2023/12/27||
|12|Relax|&b(){チンロルチョコ ナイチン}（TINROL-CHOCO NAITIN）&br()&size(11){ナイチン　ガールの杏仁味}|100000円|[[加賀　イズミ]]|2024/02/13|2024/02/14|本人からしか買えない商品|
|13|Relax|&b(){チンロルチョコ ももみ}（TINROL-CHOCO MOMOMI）&br()&size(11){ももみのもも味}|100000円|[[加賀　イズミ]]|2024/02/13|2024/02/14|本人からしか買えない商品|
|14|Relax|&b(){チンロルチョコ よつは}（TINROL-CHOCO YOTUHA）&br()&size(11){天羽　よつはのさくら味}|100000円|[[加賀　イズミ]]|2024/02/13|2024/02/14|本人からしか買えない商品|
|15|Relax|&b(){チンロルチョコ ヘスティア}（TINROL-CHOCO HESUTHIA）&br()&size(11){ヘスティア　ゴデスのバナナ味}|100000円|[[加賀　イズミ]]|2024/02/13|2024/02/14|本人からしか買えない商品|
|16|Relax|&b(){チンロルチョコ イズミ}（TINROL-CHOCO IZUMI）&br()&size(11){加賀　イズミのリンゴ味}|100000円|[[加賀　イズミ]]|2024/02/13|2024/02/14|本人からしか買えない商品|
|17|Relax|&b(){チンロルチョコ 葉風邪}（TINROL-CHOCO BAKAZYA）&br()&size(11){葉風邪　ナイのミント味}|100000円|[[加賀　イズミ]]|2024/02/13|2024/02/14|店舗限定。本人以外でも買える商品|
|18|Relax|&b(){チンロルチョコ 命田}（TINROL-CHOCO MAMORU）&br()&size(11){命田　守のビター味}|100000円|[[加賀　イズミ]]|2024/03/13|2024/02/14|本人からしか買えない商品|
|19|Relax|&b(){チンロルチョコ かげまる}（TINROL-CHOCO GAGEMARU）&br()&size(11){橘　かげまるのローズ味}|100000円|[[加賀　イズミ]]|2024/03/13|2024/02/14|本人からしか買えない商品|
|20|Relax|&b(){チンロルチョコ カテジ}（TINROL-CHOCO KATEJI）&br()&size(11){伊藤　カテジの抹茶味}|100000円|[[加賀　イズミ]]|2024/03/13|2024/02/14|本人からしか買えない商品|
|21|Relax|&b(){チンロルチョコ 鳥野}（TINROL-CHOCO TORINO）&br()&size(11){鳥野　ぎんのプリン味}|100000円|[[加賀　イズミ]]|2024/03/13|2024/02/14|本人からしか買えない商品|
|22|Relax|&b(){チンロルチョコ ましろ}（TINROL-CHOCO MASIRO）&br()&size(11){雷堂　ましろのホワイト味}|100000円|[[加賀　イズミ]]|2024/03/13|2024/02/14|本人からしか買えない商品|
|23|Relax|&b(){チンロルチョコ マグナム}（TINROL-CHOCO MAGUNAMU）&br()&size(11){フランシスコ　マグナムのクッキー味}|100000円|[[加賀　イズミ]]|2024/03/13|2024/02/14|本人からしか買えない商品|
|24|Relax|&b(){チンロルチョコ おさむ}（TINROL-CHOCO OSAMU）&br()&size(11){神崎　治のオレンジチョコ味}|100000円|[[加賀　イズミ]]|2024/03/13|2024/02/14|本人からしか買えない商品|
|25|Relax|&b(){チンロルチョコ ヒーロー（吉田ユッカ）}（TINROL-CHOCO HERO）&br()&size(11){吉田ユッカのコーヒー味}|100000円|[[加賀　イズミ]]|2024/03/13|2024/02/14|本人からしか買えない商品|
|26|Relax|&b(){チンロルチョコ しおん}（TINROL-CHOCO SION）&br()&size(11){箱根　しおんのしお味}|100000円|[[加賀　イズミ]]|2024/03/13|2024/02/14|本人からしか買えない商品|
|27|Relax|&b(){チンロルチョコ がみとも}（TINROL-CHOCO GAMITOMO）&br()&size(11){赤兎　がみとものクリソ味}|100000円|[[加賀　イズミ]]|2024/03/13|2024/02/14|本人からしか買えない商品|
|28|Relax|&b(){鼻リッチン}（HANARiCHIN）&br()&size(11){鼻リッチン}|50000円|[[加賀　イズミ]]|2024/03/28|2024/04/03||
|29|Relax|&b(){あのこのリコーダー}（ANOCORecorder）&br()&size(11){あのこのリコーダー}|50000円|[[加賀　イズミ]]|2024/03/28|2024/04/07||
|30|Drink|&b(){あのこの使った蛇口}（ANOCOTukattazyaguchi）&br()&size(11){あのこの使った蛇口}|50000円|[[加賀　イズミ]]|2024/03/28|2024/04/07||
|31|Food|&b(){あのこの遅刻食パン}（ANOCOTikokusyokupan）&br()&size(11){あのこの遅刻食パン}|50000円|[[加賀　イズミ]]|2024/03/28|2024/04/07||
|32|Food|&b(){鬼ちりまん}（ONIchiriman）&br()&size(11){鬼ちりまん}|50000円|[[加賀　イズミ]]|2024/05/08|2024/05/08|オーナー限定&br()移動販売のみ|
