***&underdot(#eee,3px){&font(17,#777){&icon_fa(fa fa-circle)} 2025年}
#region(開く,open)
#region(6月)6月
#table_style(head=center:#e6e6e6:#666666){配信日=right,#=center}
|~配信日|~#|~配信タイトル|~主な出来事|~備考|h
|06/19|1|[[1日目>>https://www.youtube.com/watch?v=KlTYD9MIze4]]|明味房体験/ここなとアクティビティ|配信終了後にサムネ・タイトル変更（シルエットと名前を差し替え）|
|06/20|2|[[2日目>>https://www.youtube.com/watch?v=avC2-IiMx9I]]|Yadorigi体験/ファームチュートリアル|配信中にサムネ変更（誤字訂正）|
|06/21|3|[[3日目>>https://www.youtube.com/watch?v=HmyQOr1hv70]]|ペールノエル体験開始||
|06/22|4|[[4日目>>https://www.youtube.com/watch?v=EBfclYKHOkc]]|1時間9055体験||
|06/24|5|[[5日目>>https://www.youtube.com/watch?v=nTnrVy4w6Es]]|JTS体験一日目 w/こみ蔵||
|06/25|6|[[6日目>>https://www.youtube.com/watch?v=4_XDEYOCe3o]]|JTS体験二日目 みどりさんと同行||
|06/27|7|[[7日目>>https://www.youtube.com/watch?v=-drubIbdAoc]]|初レース/最北ダイビング||
|06/28|8|[[8日目>>https://www.youtube.com/watch?v=jCkB1TMMMgo]]|ストップの妖精/サバゲスクリム/マクソン初リサセン||
|06/29|9|[[9日目>>https://www.youtube.com/watch?v=p0OQeAKaP2A]]|明味房体験/初の代理購入/ヘリの先生||
#table_sorter{even=#F7F7F7,odd=fff}
#endregion(6月)
#region(7月)7月
#table_style(head=center:#e6e6e6:#666666){配信日=right,#=center}
|~配信日|~#|~配信タイトル|~主な出来事|~備考|h
|07/01|10|[[10日目>>https://www.youtube.com/watch?v=sVstqba96vA]]|あびぽこと墓場チル/北に倉庫を買う||
|07/02|11|[[11日目>>https://www.youtube.com/watch?v=j-x_1vapSyI]]|JTS体験2.5日目/山下市長再就任/実況解説のハンさん||
|07/03|12|[[12日目>>https://www.youtube.com/watch?v=F7eAUJO_usI]]|こみ蔵誕生日ファーム/ハンvs忍レース/墓場チル2||
|07/04|13|[[13日目>>https://www.youtube.com/watch?v=cbrDTqeYYXw]]|水没レース/砂漠署麻陀羅抗争/ブロ宗介賭け裁判||
|07/05|14|[[14日目>>https://www.youtube.com/watch?v=DcbLJ0rcBto]]|むんむん&アミステopen/7月の運勢/ヘリバトル練習||
|07/09|15|[[15日目>>https://www.youtube.com/watch?v=WdA9W2FqI_k]]|布集め助言/にーとさんとサバゲー/9055アタック練習||
|07/10|16|[[16日目>>https://www.youtube.com/watch?v=BDUk-fXIZ7s]]|JTS体験三日目/初試乗会&抽選/yadorigiチル/黒服||
|07/11|17|[[17日目>>https://www.youtube.com/watch?v=JaNxU_L3ZCE]]|ジャム姐謎解きテスター/堕夜チンチロ||
|07/12|18|[[18日目>>https://www.youtube.com/watch?v=nLcEUtUF_w4]]|可愛いだけじゃ..レース/ヘリバトル予行演習||
|07/13|19|[[19日目>>https://www.youtube.com/watch?v=0X58WP5i2Iw]]|鉄骨渡り/初人質/デスゲーム/居酒屋顔合わせ||
|07/15|20|[[20日目ヘリバトル、そして…>>https://www.youtube.com/watch?v=yUIddMAcmnM]]|ヘリバトル本番/初小型/特別なオファー/組織顔合わせ||
|07/16|21|[[21日目・ハンタスマ体験>>https://www.youtube.com/watch?v=PRgIbLTsyHg]]|JTS社内イベント/tasmaレク/黒現金&TA車練度上げ||
|07/17|22|[[22日目・ハンタスマ体験→いろんなゲーム>>https://www.youtube.com/watch?v=Ard9-jm1n_s]]|豆やんへ黒行き挨拶/魔法使いコス/アドスペ同乗||
|07/19|23|[[23日目・ハンタスマ体験>>https://www.youtube.com/watch?v=HL2_AdXhzsc]]|初宝石店/格付けサバゲ/初大型/boosting入門/客船座学||
|07/20|24|[[24日目・ハンタスマ体験>>https://www.youtube.com/watch?v=ucpEK_t_xRs]]|初密輸機墜落/忍イベ決勝/初空き巣/初花摘み/ヘル対話||
|07/22|25|[[25日目・ハンタスマ体験最終日>>https://www.youtube.com/watch?v=hijeBKkDzXY]]|初ATM/赤コンテナ/合否レク||
|07/23|26|[[26日目・ハンタスマ加入>>https://www.youtube.com/watch?v=43-FzqCEaOQ]]|初練り/落書きアジト紹介/ボブキャ座学/初手売り||
|07/24|27|[[27日目・ハンタスマ>>https://www.youtube.com/watch?v=8IILH9mH7jc]]|初マトリ🥦/ボイラチェイス/とろさん専用コース||
