#table_filter(){入手日=show,種類=show,愛称=show,車両名=show,ナンバー=hide,備考=show}
#table_style(head=center:#E6E6FA)
|~入手日|~種類|~愛称|~車両名|~ナンバー|~備考|h
|2023/12/？|🚗||ナイトシェード(Nightshade)|ELHG7736||
|2024/01/？|🚗|ジェスター|ジェスター(Jester)|TEZU7237||
|2024/01/？|🚗|サルタン|サルタン・クラシックカスタム&br()(Sultun Classic Custom)|PILX9738||
|2024/01/31|🚙|まいにいの家|スピードー・カスタム&br()(Speedo Custom)|BIYS4000|[[芳賀　ノエル]]から借りている。|
|2024/02/06|🏎|【[[ALLIN]]】タイラント|タイラント(Tyrant)|VHOR2342|[[EDEN]]の[[葵井　優]]から購入。|
|2024/02/21|🚲||ママチャリ(City Cycle)|HHLZ0780|自転車屋で購入。|
|2024/05/15|🚙|遊び用どらうぐーる|ドラウグル(Draugur)|TWNI0188|[[プラネットモータース]]の[[ルウ　ギャラクティカ]]から購入。|
|2024/05/30|🚗|【ALLIN】パラゴン|パラゴン(Paragon)|IFWB8477|[[天草　蒼]]から[[ALLIN]]加入祝いのプレゼント。|
|2024/08/11|🛥️||ロングフィン(Longfin)|HMTW9362|[[SeaYosoro 天王寺]]の[[豆　やん]]から購入。|
|2024/09/15|🚙||Issi Sport|YQXF9578|[[CPU]]から託された。|
|2024/09/24|🚁|MNB号|FROGGER CUSTOM|BIZY4008|[[マイゴ・ニ＝ナリエル]]、[[エスターク・Z・ダークネス]]、[[みこだ　よう>神子田　頼]]、[[ヘルアン]]からの誕生日プレゼント。|
|2024/09/24|🚙|💎はぴばまいにいデート用💎| Vapid Chino Luxe, Muscle|PPNY1278|[[天草　蒼]]からの誕生日プレゼント。|
|2024/09/24|🏎||Thrax|YEVP1337|[[月ノ島　ごう]]から貸してもらっていたが誕生日プレゼントとして正式にいただいた。|
|2024/09/24|🛥️||Buckingham Tug,Boats|HMTW9362|[[ひの　らん]]からの誕生日プレゼント。|
|2024/09/26|🏍|まいにいのご健勝ご多幸をお祈りいたします。|Shotaro ccc|FCJQ2046|[[千代田　ヨウ]]からの誕生日プレゼント。|
|2024/09/29|🏎|【ALLIN】テザラクト|Tezeract|EUFT0482||
|2024/10/09|🏎|【ALLIN】ネロ・カスタム|Nero custom|JEDO4774||

#table_autoincrement(){label=No.}
#table_sorter{even=#F7F7F7,odd=#FFFFFF}

//|2024//|🚗|||||
