&image(ロゴ.jpg,y=300)

#table_color(#c0c0c0)
|BGCOLOR(#ff0000):~&color(#ffffff){名前}|&ruby(){チームドラゴン}|
|BGCOLOR(#ff0000):~&color(#ffffff){設立日}|2022年09月16日（累計194日)|
|BGCOLOR(#ff0000):~&color(#ffffff){解散日}|2023年03月28日|
|BGCOLOR(#ff0000):~&color(#ffffff){所在地}|8182番地|
|BGCOLOR(#ff0000):~&color(#ffffff){種別}|縫製工場|
|BGCOLOR(#ff0000):~&color(#ffffff){ボス}|[[朝羽　龍之介]]|
|BGCOLOR(#ff0000):~&color(#ffffff){チームカラー}|&bold(){&color(#ff0000){赤}}|

//目次にエピソードリンクを表示すると、そのうち長過ぎて目次の意味を為さなくなるため見出しレベル「***」（*3つ）まで表示するように設定しています。
#region(目次を開く)目次
#contents(fromhere=true,level=3)
#endregion

**基本情報
・チームの信念は「命大事に」
・・危険な場面に遭った時、命を守るよう心がける信条である。ただ、自分の命が危ない時、人を撃つことはやむを得ない。また、この信念はチームメンバーに対して強要する意思はなく、好きなようにやって欲しい、と朝羽は言う。
・チームメンバーに自由に好きなものを買って欲しいため全員役職は「幹部」である
・時々笑いゲラが止まらなくなる、温かい組である。
・別の町に病院を設立するため、住人に惜しまれつつ、2023年03月28日にメンバー全員でロスサントスを旅立った。

**エンディング後
・無事、別の街で病院を設立することができ、メンバーみんなで住み込みで働いている。
・[[朝羽　龍之介]]がスラム街で育ったという「[[伊豆院　登]]」を拾い、病院で住み込みで一緒に働くことに。
・その後朝羽は、命の重さをちゃんと理解していない伊豆院に、ロスサントスで命の重さを学ばせようと彼を引っ越しさせた。
**拠点
#table_color(#808080)
#table_filter(){No.=hide,番地=show,場所=show,通称=show,管理=hide,備考=show}
|BGCOLOR(#ff0000):~&color(#f9fcff){No.}|BGCOLOR(#ff0000):~&color(#f9fcff){番地}|BGCOLOR(#ff0000):~&color(#f9fcff){場所}|BGCOLOR(#ff0000):~&color(#f9fcff){通称}|BGCOLOR(#ff0000):~&color(#f9fcff){管理}|BGCOLOR(#ff0000):~&color(#f9fcff){備考}|h
|1|8182|縫製工場|アジト|[[朝羽　龍之介]]|本拠点|
|2|7192|モーテル|倉庫|[[朝羽　龍之介]]|クスリ専用倉庫|
#table_sorter{even=#f7f7f7,odd=#fff}
**メンバー
#table_style(head=center)
|BGCOLOR(#ff0000):~&color(#f9fcff){No.}|BGCOLOR(#ff0000):~&color(#f9fcff){名前}|BGCOLOR(#ff0000):~&color(#f9fcff){加入日}|BGCOLOR(#ff0000):~&color(#f9fcff){備考}|h
|1|&ruby(あさば　りゅうのすけ){[[朝羽　龍之介]]}|2022/09/16|ボス&br()コードネームは「王（わん）」|
|2|&ruby(タオ　メイメイ){[[桃　明明]]}|2022/10/24|幹部&br()コードネームは「香（きょう）」|
|3|&ruby(おじょう　サマー){[[小路陽　サマー]]}|2022/10/27|幹部&br()コードネームは「飛（とび）」|
|4|[[デカレイナ・ザ・ユグドラシル]]|2022/10/28|幹部&br()コードネームは「銀（ぎん）」|
|5|&ruby(おりはら　めいぷる){[[折原　紅葉]]}|2022/10/31|幹部&br()コードネームは「桂（けい）」|
|6|&ruby(むなかた　そうざぶろう){[[宗像　宗三郎]]}|2022/11/04|幹部&br()コードネームは「成（なり）」 |
#table_sorter{even=#f7f7f7,odd=#fff}
※2023年03月28日に全員が脱退し解散
**歴史
#table_filter(){出来事=show,関係者=hide,備考=show}
|BGCOLOR(#ff0000):~&color(#f9fcff){日付}|BGCOLOR(#ff0000):~&color(#f9fcff){出来事}|BGCOLOR(#ff0000):~&color(#f9fcff){関係者}|BGCOLOR(#ff0000):~&color(#f9fcff){備考}|
|2022/09/16|「[[チームドラゴン]]」設立|[[朝羽　龍之介]]|医者として生きる道を断たれた龍之介の第二の選択。&br()医者の魂はチームの方針「命大事に」に受け継がれる。|
|2022/10/24|新メンバー加入|[[桃　明明]]|路頭に迷っていたチャイニーズマフィアの[[メイメイ>桃　明明]]を拾う。|
|2022/10/24|本格的に始動|[[チームドラゴン]]|シマのマーキング、ハッピーフラワーの収穫、車両窃盗を始めた。|
|2022/10/26|山本龍也との話し合い|[[桃　明明]]|シマのマーキングによりLWGPの[[山本　龍也]]から疑われ命を狙われる。&br()メイメイが[[サンフォレスト　あんず]]に仲介を頼み、説得してもらう。&br()これ以降、山本はTDメンバーにいろいろアドバイスをくれる存在となる。|
|2022/10/27|新メンバー加入|[[小路陽　サマー]]|没落お嬢様の[[小路陽　サマー]]が加入。&br()ますます&s(){ゲラ}笑いが止まらなくなった。|
|2022/10/28|新メンバー加入|[[デカレイナ・ザ・ユグドラシル]]|荒くれ者の女ヴァイキング[[デカレイナ・ザ・ユグドラシル]]が加入。|
|2022/10/31|新メンバー加入|[[折原　紅葉]]|10歳の少年[[折原　紅葉]]の希望により誘拐(加入)。|
|2022/11/10|メイメイ事変|[[桃　明明]]|爆発事故の影響でメイメイが幼児退行する。&br()メンバーがメイメイと思い出の場所をたどることにより記憶を取り戻す。|
|2022/11/26|[[LWGP]]と[[MOZU]]の抗争|[[小路陽　サマー]]|情勢やシマの住人の安否を確認するために偵察に動く。|
|2022/11/29|サマー事変|[[小路陽　サマー]]|雪山からの滑落により記憶と笑顔が失われたサマーだったが、&br()友人たちやメンバーの支えにより乗り越える。&br()サマーに「パーフェクト太陽」の称号が付く。|
|2022/12/23|レシピ発見|[[宗像　宗三郎]]|宗三郎がメガロバニアのレシピを発見する。&br()46個のクスリを[[小此木　ナカバ]]に押収される。|
|2022-12-24|倉庫購入|龍之介、宗三郎|警察の摘発を警戒するために新たにクスリ用の拠点を購入。|
|2022-12-25～30|Precious Place抗争|龍之介、サマー、宗三郎|[[ヤマンバ　花子]]が立ち上げたPrecious PlaceがLWGPと抗争。&br()MOZUがPPを、TDがLWGPを後方支援する形になる。&br()最終的に龍之介がトップ同士の話し合いを仲介する。|
|2023-02-02|方針共有|[[朝羽　龍之介]]|龍之介からメイメイへ今後の方針について考えていることを明かす。&br()以降、メンバー一人一人や近しい人に今後の予定を伝えていく。|
|2023-03-29|解散と旅立ち|[[チームドラゴン]]|龍之介のコンビニ強盗未遂により全員が共犯で逮捕され、&br()初めてチームドラゴンのメンバーが公となる。&br()メンバー全員で最後のロスサントス観光をする。&br()ストリップバーでパーティを開き、友人との別れを惜しむ。&br()港から全員で船に乗り込み、ロスサントスを旅立った。|
#right(){&link_up(🔝ページTOPへ)}
