//
//[注意！]
//誰かが記載した文章を丸々削除&記入は、編集合戦になって不毛な戦いに発展してしまうのでお控えください。
//適切ではない文章で、丸々消去する場合はコメントアウトを用いて、消さずに又はメモを残す対応をお願いします。
//
//11/14追記:がっつりエピソードなど、「人物特徴ではないもの備考欄への記載」は無駄だと判断し、消させていただきます。
//11/26追記:無駄に備考欄が長くなっている為、面白犯罪でのランキングや記載したいエピソードなどがある場合はこちらではなく、各人物のプロフィールにて記載をお願いします。
//2024/3/27 銀河一アニキについて、ランク2に昇格したと思ってらっしゃる方がいるのですが、現在はSWATのみ2を付与されています。参考URL：https://www.twitch.tv/videos/2102070301?t=03h27m13s
//以前世代名は編集相談所にて仮称は正式名称ではないので載せない方がよいにまとまっていたはずなので、世代の仮名称は非表示にしました。
//各署員のランク記載ですが、警察ランクとSWATランクに差がない限り一つにまとめて記載するのが良いかと思います。
//2024/10/28 (月) 11:52:15(非ログインユーザー)のましゃかり　トラボルタ編集、「警察としての仕事よりも自身の撮れ高を優先する一面があり～」は事実と異なる点や、配信者下げにしか見えないため削除させていただきました。同時にジャック馬ウアーの「仕事ぶりのいい加減さや～」も観測者側からの主観にしか見えないと思うので削除しています。
//2025/09/22：「役職」欄を追加し、各署の「署長、副署長、上官、副官」を記載しました。それに伴い、「役職/部署/世代」を「部署/世代」に変更しています(by akina3)
//2025/09/22：馬ウアー署長の備考欄について行数が多かったので「openclose2」を使って一部クリックで表示するようにしました。記載内容は変更しておりません(by akina3)
//
//
***&font(19,u){&color(#4169E1){|}&space()Season1&space(4)}
#region(開く)閉じる
****概要
-署員数：98人（男性：67人・女性：31人）&small(){休職中を除く}
-SWAT隊員数：91人（男性：64人・女性：28人）
// 2025/07/15更新 犬ルリ懲戒免職
// 2025/09/10時点 ブロッコリー斎藤無期限停職（人数未反映）
// 2025/07/02時点 市長・市長補佐は未カウント、警察のみ所属7人（男性：4人・女性：3人）
// 2025/09/22時点 胡將停職（人数反映済　99人→98人）
// 2025/09/22時点 文月夏苗 休職
//
****&font(19,u){&color(#4169E1){|}&space()署員一覧 &color(darkblue){&icon_fa(fa-solid fa-person-military-pointing)}}
//各署員のランク記載ですが、警察ランクとSWATランクに差がない限り一つにまとめて記載するのが良いかと思います。
#size(90%){{{#table_style(100%,head=#4169e1:#ffffff:center){SWAT入隊状況=center,本採用日=right}
#table_filter(){所属=show,役職=show,ふりがな=hide,階級=show,部署/世代=show,SWAT入隊状況=hide,本採用日=show,備考=show}
|~所属|~役職|~氏名|~ふりがな|~階級|部署/世代|~SWAT入隊状況|~本採用日|~備考|h
|本署|&color(#3B4EF0){&bold(){本署}}&color(#3B4EF0){&bold(){ 署長}}|[[ジャック　馬ウアー]]|じゃっく　ばうあー|6|特殊刑事課対応課|○|'22/09/07|2代目署長。英語が喋れるバイリンガルで、警察視点から街を長く知る古参住民の一人でもある。&br()スマホの着信音はドッキリで有名な曲。&br()警察で唯一、街に[[配偶者>松竹　ウメ]]がおり、死別したと思っていた[[娘>聖母　れりあ]]が生きていた事も分かった。&br()署内で問題が起こったときの対処やいざという時の決断力は定評あるものの、度々問題を起こしたり空気の読めない一面もあってか、&br()署長とは思えない冷たい扱いをされる事がある。&br()&openclose2(show=※エピソード、クリックして表示){&br()その積み重ねが祟ってか、[[大学>ストグラ大学]]の講義に参加した際、[[白市民>大　川]]から「馬ウアーさんにマネージメント論語られても何も刺さんない」等と、&br()[[警察署員>バーバリアン　田中]]がいる場で容赦ない感想まで出る始末。&br()話を聞いてない一面もあり、署員との個人面談内容を市に報告していなかった事で[[市長>山下　ひろし]]から&br()「私が何でわざわざ記憶を覗きに行かなきゃいけないんだよ！」と怒られた際、&br()怒られた理由を理解せずに反論した結果、署員の反感を買う失言まで出た。 [[マクドナルド>ライトスターボーイ]]によく絡まれてるせいか、&br()市民や一部署員からギャングとの癒着を疑われておりマクドナルドを轢き逃げした事件では大勢の市民から容赦なく詰められた結果、&br()市民たちのことを「SNSに流されやすい愚かな愚民ども」と発言し、署員から説教を喰らった。&br()魂が旅行に行くと、部下が[[酔っ払った状態で二度も大暴れ>竹井　勝痔]]したり、&br()[[夢の世界でファンネル>ましゃかり　トラボルタ]]飛ばした事で[[偉い人の魂>山下　ひろし]]から怒られたどころか違う所にファンネル飛ばした事が発覚したり、&br()[[SWATの隊長>ミン　ドリー]]が内部問題にキレて勝手に退職したり等と、本人もネタにするほど身内に非常に重いステーキ案件が発生しやすい。&br()重度なレベルで忘れっぽく、捜査上で[[署員>ましゃかり　トラボルタ]]から依頼された[[相手>不二子　キャスパー]]への連絡を数か月放置して確認内容を忘れていたり、&br()[[ババア>バーバリアン　田中]]が個人面談で既に提案していた案を後に自身が考えた案だと思い込んだり等、よく発生している。&br()ここまででわかる通り、署長の話は長い。会議の号令をかけると、よく署員たちから「動画何本分だ？」などと言われている。&br()とある事件の対応で失態をしてしまい[[STGR FES>>https://stgrfestival.com]]でピンネタを披露するという前代未聞の禊を行った。}|
|本署|本署 &color(#3B4EF0){副署長}|[[如月　キャシー]]|きさらぎ　きゃしー|6&br()&small(){SWAT}1|東署兼業|○|'22/09/02|2代目副署長。事務が本職といっても過言ではない存在。&br()本署の備品補充・資金管理(ボーナス)・警察タブレット内記載のマニュアルや管理メモなどを管理している。&br()また、今は各地に設置されている監視カメラの設置作業に携わるなど、署員の活動の利便性を影から支えている存在。&br()面倒見が良いが、ちょっとしたことで殴ってくるので注意。|
|本署|本署 特別上官|[[後藤　れむ]]|ごとう　れむ|6|[[特殊部隊Dogs>https://w.atwiki.jp/streamergta5/pages/186.html#Dogs]]隊長&br()|○|'22/10/15|戦闘狂の最強&countup(2016/12/18,y)歳児。良くも悪くも子供っぽい面がある。ヘリ・撃ち合い・チェイスどれを取っても署内トップクラスの腕を持つ。&br()そのため、街の人口が少なかった時代は出勤してくると大型犯罪の発生自体がゼロになった程。その強さから犯罪者に「神童」と呼ばれていた。&br()警察ヘリのサーマルやロックオン機能を発見した人物で、ワンオペ時代にヘリアタックやブレードキルの技術を生み出した。[[二十日ネル>二十日　ネル]]と元警官の[[ハクナツメ>ハク　ナツメ]]にヘリ操縦を教えている。&br()&s(){[[魂貫通>アルフォート　ウェスカー]]もあってか}、かつては[[餡ブレラ>anbrella(餡ブレラ)]]のメンバーにちょっかいを出していた。&br()'23/11/14、独自に特殊部隊Dogsを設立。|
|本署|本署 上官|[[ミン　ドリー]]|みん　どりー|6|[[黄金世代>ロスサントス警察#黄金世代]]&br()SWAT隊長&br()口プ課 課長&br()救急隊対応課&br()ミスリ課|○|'23/08/13&br()&openclose2(show=復職){&br()'25/04/04}|黄金世代の一人。地理に強く遊撃を得意とする裏取りのプロ。全体的に戦闘スキルが高いオールラウンダー。&br()トラブルにも落ち着いて対応できるため、署員によく頼られている。故に警察側の対応についてのすり合わせなどを犯罪者と一緒に行うことが多く、心労が絶えない。&br()寡黙なイメージと見た目も相まって怖いと思われがちだが、実はお茶目で天然。&br()メリハリがかなりしっかりしており、真面目な時とめっちゃちょける時の落差がすごい。&br()'25/03/22自身の理想としている警察像と現実の乖離に悩み、リフレッシュも兼ねて一時退職。&br()本人としては1ヶ月ぐらいの予定かつ体験としてやり直したかったが、前倒しで'25/04/04元のポジションで復職する事となった。|
|本署|本署 上官|[[二十日　ネル]]|はつか　ねる|5|[[特殊部隊Dogs>https://w.atwiki.jp/streamergta5/pages/186.html#Dogs]]&br()隠密部隊&br()|○|'22/08/29|市民からも慕われるみんなの&s(){弄られ役　ポン}お姉さん。キャシーに次いで初期から事務で署員を影から支える存在。&br()前線での戦闘よりも後方支援が得意。体験を受け持つことが多い。&br()ヘリの操縦は[[後藤　れむ]]に師事し、特に「逃げ」の操縦に長けている。&br()署員からは後方支援において無くてはならないほど頼りにされているためランク6へ昇格を持ちかけられているが、本人が辞退している。|
|本署||[[伊坂　直樹]]|いさか　なおき|5|副署長補佐 |○|'22/09/21&br()&openclose2(show=復職){&br()'23/08/05}|不憫体質。警察システムに超詳しいバイカー。そのため警察システムで分からないことを聞けばほぼ答えてくれる。&br()長期休暇の後、定期的に復帰中。&br()恋人のキャシーのことになると暴走が止まらなくなる。|
|本署||[[ニックス　リア]]|にっくす　りあ|5&br()&small(){SWAT}6|[[黄金世代>ロスサントス警察#黄金世代]]&br()SWAT副隊長&br()チャリ課&br()モテモテクラブ&br()空挺部隊 隊長&br()ミスリ課 |○|'23/08/13|黄金世代の一人。通称「皇帝」。地上での情報精査や銃撃スキルに長ける、歩く六法。&br()スプレー消し業務から体験講習、地上・空のIGLの業務まで幅広くこなす仕事人でもある。&br()しかし皇帝だという自意識がとても高いせいで、主に警察内部や犯罪者からヘイトを買ってしまいがち。&br()その一方で白市民に対しての面倒見は良いので、白市民に限れば評判は良い。&br()署長の降格処分に際し、'24/02/17～03/08まで署長代理を務めた。なぜかそのままランク降格処理されていない。&br()'24/03/24、ランク6は歪みとしてミンドリーが従来のランク4より低いランク3に[[しれっと変更>https://www.twitch.tv/middleeetv/clip/FancyLuckyStarlingBudBlast-cn7QRJTJQhHjDy1B]]。'24/04/20、ランク4復帰。&br()「&bold(){ロスサントスの太陽、出勤！}」＼&bold(){沈め！}／|
|本署||[[青井　らだお]]|あおい　らだお|5|[[黄金世代>ロスサントス警察#黄金世代]]&br()特殊刑事課対応課|○|'23/08/13|黄金世代の一人。ダウナーな雰囲気とは裏腹に、空からのIGLや人員配置、サーマルチェイス、ブレードキル、ヘリアタック等を並行してハイレベルにこなす警察最強のヘリ使い。&br()普段は青い鬼の仮面を被って素顔を隠している。&br()最近は増えたヘリ乗りたちのアタック、チェイス等の練習相手や指導、悩みの相談先になっており、後輩たちの心の中の大きな存在となっている。&br()犯罪を行っていない時は平等に市民の1人として柔軟に対応をしてくれるため市民犯罪者問わず信頼が厚く、警察への苦情相談はだいたい彼のもとに来る。&br()特殊刑事課課長キャップによって特殊刑事課対応課に任命された。&br()[[署長代理>ニックス　リア]]によってランク6まで上げられたが、丁重に辞退し5に収まった(ランク5への降格処理は[[ドリー>ミン　ドリー]]が実施)&br()長期休暇後、久しぶりに起きた時にはヘリの動きに身体がついていかないと言っていた。|
|本署||[[伊藤　ぺいん]]|いとう　ぺいん|5&br()&small(){SWAT}4|[[黄金世代>ロスサントス警察#黄金世代]]&br()チャリ課 課長&br()チル課&br()自称イキリ課&br()救急隊対応課&br()ミスリ課 課長&br()モテモテクラブ&br()空挺部隊|○|'23/08/13|黄金世代の一人。自称「黄金の風」。銃撃戦やヘリなどを高レベルで行うことができ、足りない部分を補うスタイルのため多くの役割の理解もある万能型。&br()周りをよく見ており人を褒めるのが上手く、積極的に署員をフィードバックしている姿がよく見られる。&br()失敗を次に活かす為にどうしようか考えれる努力家で疲れを表にあまり出さない為心の中で溜め込んでしまう一面も。&br()その唯一無二の人当たりの良さから、同期に限らず先輩後輩からいじられる愛されキャラ（通称「音のなるおもちゃ」）。&br()'24/10/1に出勤した際今までのように上官としての作業ができないと感じ、ランク1に戻りたい旨を[[ネル先>二十日　ネル]]伝え、ランク1に下げラン...&br()したと思いきや、気づかないうちにランク5へ上げランしていた。&br()警察だけでなく市民との交流を作るためにチャリ課を発足。街の人や救急隊、ギャングや市民への対応も多くこなす街のおまわりさん。&br()[[文月　なえ]]とは『死ぬバディ』として一生バディ宣言をしており、死ぬまで一緒。死んでも一緒。&br()「&bold(){感じないか？黄金の風が吹くのを！}」＼&bold(){感じる～！}／|
|本署||[[安倍　霊明]]|あべの　れいめい|5|[[最悪の世代>ロスサントス警察#最悪の世代]]&br()チル課&br()特殊刑事課候補生&br()空挺部隊&br()モテモテクラブ|○|'24/02/06|最悪の世代の一人。悪霊をお祓いする事ができる陰陽師。口癖は「あなや！」式神を複数調伏しており同僚達にも"朱雀"や"白虎"が人気。&br()ノリやリアクションの良さ面白さに定評がある警察のムードメーカー。優しく丁寧な対応、空気を和ませる天然さや真面目で誠実な性格から、黒白関係なく親しまれている。&br()街や牢屋でのお祓い「急急如律令」や「六根清浄」｢六根清浄コール」が大人気で指名が入ることもある。2024年流行語大賞2位「あなや」6位「六根清浄」入賞で見事人気ぶりを発揮した。&br()車の運転技術が高く(街のレース大会でも多数入賞経験あり)、IGLや戦闘、事務作業もそつなくこなし、周りのまとめ役もできる優秀で頼りになる存在。&br()高難易度の昇格試験も不屈の精神で達成した努力家。ネタキャラかと思いきやオンオフはしっかりしており、仕事ができるため上官たちからの評価が高い。&br()[[レッサン　パンナ]]は同日入隊の同期。[[猫　マンゴー]]に一目惚れして一途な想いを寄せている。尊敬している上司は[[ミン　ドリー]]。上司の[[青井　らだお]]から「霊明が一番良い警察官」とお墨付き。&br()「&bold(){陰陽師・安倍霊明、見参致しました}」|
