#region(開く)

***6月1日～3日
#region(開く)
****6月1日（土）
#table_style(head=center:#EEE:12px){組織=11px:b:center, #=11px:center, ミッション=11px, 回収結果=11px, 犯人=11px, 警察=11px, 逮捕者数=11px, 開始時間=11px}
|~組織|~#|~ミッション|~回収結果|~犯人|~警察|~逮捕者数|~開始時間|
|COLOR(white):BGCOLOR(#000000):MOZU|1|ボブキャット|○ &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){BMのみ回収}|2人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){銭形/カイキ}|0人|0人|19：04|
|~|2|客船|×|4人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){だよ/ボア/銭形/アヌギフ}|10人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){ミンドリー/皇帝/れう/ボイラ/まるん/ぺいん/オルカ/さぶ郎/竹井/えびす}|1人|22：16|
|>|>|>|>|>|>|>|SIZE(1):COLOR(gray):BGCOLOR(#EEE):|
|COLOR(white):BGCOLOR(#6495ed):GoodByeCircus|1|オイルリグ|◎ &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){NL合同}|7人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){らみ/ネケ/ひろし/チンピラ/フナ/セイジ/ナツメ}|0人|0人|20：25|
|~|2|ボブキャット|×|9人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){ヨウコウ/レン/らみ/ネケ/ひろし/ダミアン/えだまめもん/こはる/チエリ}|?人|9人 &infobox(title=＋1,trigger=click,gravity=west,size=small,animation=fadein){ボイラ}|01：18|
|>|>|>|>|>|>|>|SIZE(1):COLOR(gray):BGCOLOR(#EEE):|
|COLOR(white):BGCOLOR(#B45460):餡ブレラ|1|客船|◎ &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){一部補填}|7人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){那須/チャルロス/華月/ニャンコ/ゴン/政宗/ウェスカー}|0人|0人|18：58|
|~|2|パシフィック銀行|◎|7人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){ウェスカー/那須/ゴン/チャルロス/政宗/ニャンコ/華月}|8人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){皇帝/なずぴ/ボブ/ぺいん/夏苗/赤城/しょうじ/ミンドリー}|5人|19：58|
|~|3|飛行場|○|7人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){ウェスカー/ニャンコ/那須/政宗/華月/チャルロス/ゴン}|?人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){多数/確認中}|3人|??：??|
|>|>|>|>|>|>|>|SIZE(1):COLOR(gray):BGCOLOR(#EEE):|
|COLOR(white):BGCOLOR(#A1A3A6):ALLIN|1|飛行場|◎|11人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){エスターク/ヘル/ナリエル/安城/天草/トナカイ/月ノ島/まいにい/ノエル/ネマ/みこだ}|8人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){キャップ/ボイラ/らだお/ぺいん/なずぴ/ぱちお/レッサン/よわき}|2人|18：57|
|~|2|アーティファクト|◎|14人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){エスターク/ヘル/ナリエル/安城/天草/トナカイ/月ノ島/まいにい/ノエル/ネマ/みこだ/白井/アボ/CPU}|15人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){ボイラ/赤城/皇帝/ミンドリー/らだお/ぺいん/オルカ/さぶ郎/なずぴ/竹井/えびす/レッサン/つよき/夏苗/ボブ}|14人|19：58|
|~|3|ユニオンヘイスト|◎|14人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){白井/アボ/千代田/エスターク/ヘル/ナリエル/安城/トナカイ/CPU/月ノ島/まいにい/ノエル/ネマ/みこだ}|20人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){ネル/ボイラ/皇帝/ミンドリー/らだお/ぺいん/オルカ/ひのらん/あるぴ/さぶ郎/ぱちお/なずぴ/竹井/れう/アニキ/えびす/レッサン/めい/夏苗/ボブ}|12人|21：24|
|~|4|アーティファクト|×|13人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){MonD/白井/アボ/千代田/エスターク/ヘル/ナリエル/CPU/トナカイ/月ノ島/まいにい/ノエル/みこだ}|?人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){確認中}|8人|22：43|
|>|>|>|>|>|>|>|SIZE(1):COLOR(gray):BGCOLOR(#EEE):|
|COLOR(white):BGCOLOR(#FAA755):NOLIMIT|1|オイルリグ|◎ &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){GBC合同}|7人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){らみ/ネケ/ひろし/チンピラ/フナ/セイジ/ナツメ}|0人|0人|20：25|
|~|2|オイルリグ|◎|9人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){シャンクズ/けっつん/えんじ/街雄/チンピラ/フナ/ちの/セイジ/ナツメ}|?人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){ヘリ3～4/確認中}|0人|23：18|
|>|>|>|>|>|>|>|SIZE(1):COLOR(gray):BGCOLOR(#EEE):|
|COLOR(white):BGCOLOR(#ffb6c1):868|1|客船|○|5人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){レダー/ケイン/トピオ/紫水/傭兵：ジョシュア}|15人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){なずぴ/レッサン/皇帝/さぶ郎/マヌ太郎/えびす/ぺいん/れう/あるぴ/セリーヌ/ぱちお/猫マンゴー/ひのらん/竹井/ボブ}|4人|01：27|

****6月2日（日）
#table_style(head=center:#EEE:12px){組織=11px:b:center, #=11px:center, ミッション=11px, 回収結果=11px, 犯人=11px, 警察=11px, 逮捕者数=11px, 開始時間=11px}
|~組織|~#|~ミッション|~回収結果|~犯人|~警察|~逮捕者数|~開始時間|
|COLOR(white):BGCOLOR(#000000):MOZU|1|アーティファクト|○ &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){2/6回収。横取りIRiS：ジョーカー/オザワ逮捕}|5人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){キミトス/じょば/銭形/竹森/にーと}|9人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){皇帝/赤城/ボイラ/ぺいん/マヌ太郎/ぱちお/ローズ/レッサン/つよき}|1人|20：22|
|~|2|ボブキャット|◎|7人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){キミトス/だよ/ボア/じょば/銭形/竹森/にーと}|?人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){確認中}|?人|21：35|
|~|3|アーティファクト|×|8人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){ヴァンダーマー/銭形/だよ/じょば/キミトス/にーと/ボア/竹森}|11人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){皇帝/なずぴ/レッサン/つよき/オルカ/えびす/ローズ/めい/さぶ郎/ぱちお/ボブ}|?人|23：42|
|>|>|>|>|>|>|>|SIZE(1):COLOR(gray):BGCOLOR(#EEE):|
|COLOR(white):BGCOLOR(#6495ed):GoodByeCircus|1|客船|×|8人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){ぺお/イネヌコ/JD/ネケ/他確認中}|?人|0人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){なずぴ/よわき/さぶ郎/レッサン/ボイラ/まるん/マンゴー/他確認中}|01：40|
|>|>|>|>|>|>|>|SIZE(1):COLOR(gray):BGCOLOR(#EEE):|
|COLOR(white):BGCOLOR(#B45460):餡ブレラ|1|ユニオンヘイスト|× &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){ハンドガン縛り6vs6}|6人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){ウェスカー/華月/わきを/おきる/ゴン/政宗}|6人|6人？|??：??|
|>|>|>|>|>|>|>|SIZE(1):COLOR(gray):BGCOLOR(#EEE):|
|COLOR(white):BGCOLOR(#C7B2D6):IRiS|1|飛行場|◎ &infobox(title=詳細,trigger=click,gravity=west,size=small,animation=fadein){全額補填}|6人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){ジョーカー/オザワ/シュガーピーチ/レレレ/生雲丹/イヴ}|?人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){えびす/レッサン/ボブ/他確認中}|5人|23：12|
|>|>|>|>|>|>|>|SIZE(1):COLOR(gray):BGCOLOR(#EEE):|
|COLOR(white):BGCOLOR(#A1A3A6):ALLIN|1|客船|◎|7人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){みこだ/天草/ノエル/エス/ヘル/トナカイ/月ノ島}|10人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){赤城/竹井/ローズ/よわき/ボブ/マヌ太郎/さぶ郎/レッサン/皇帝/ボイラ} |2人|??：??|
|~|2|カジノヘイスト|◎|11人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){白井/アボ/エス/ヘル/天草/CPU/トナカイ/月ノ島/まいにい/ノエル/みこだ}|15人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){マヌ/ボイラ/皇帝/ぺいん/電波/オルカ/あるぴ/さぶ郎/ぱちお/なずぴ/ローズ/えびす/レッサン/よわき/ボブ}|9人|21：29|
|~|3|ユニオンヘイスト|◎|12人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){MonD/白井/アボ/エス/天草/CPU/トナカイ/月ノ島/まいにい/ノエル/みこだ}|15人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){マヌ/ボイラ/皇帝/ぺいん/電波/オルカ/あるぴ/さぶ郎/ぱちお/なずぴ/ローズ/えびす/レッサン/よわき/ボブ}|10人|00：16|
|~|4|飛行場|◎|9人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){MonD/白井/エス/ヘル/CPU/トナカイ/まいにい/ノエル/みこだ}|12人 &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){ボイラ/皇帝/ぺいん/まるん/オルカ/マンゴー/なずぴ/ローズ/えびす/レッサン/よわき/めい}|1人|01：54|
|>|>|>|>|>|>|>|SIZE(1):COLOR(gray):BGCOLOR(#EEE):|
|COLOR(white):BGCOLOR(#FAA755):NOLIMIT|1|客船|×|10人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){シャンクズ/けっつん/SAY/えんじ/チンピラ/街雄/レオ/ちの/セイジ/ナツメ}|?人|?人|22：33|
|>|>|>|>|>|>|>|SIZE(1):COLOR(gray):BGCOLOR(#EEE):|
|COLOR(white):BGCOLOR(#ffb6c1):868|1|オイルリグ|◎|4人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){レダー/刃弐/芹沢/ケイン}|0人|0人|20：27|
|~|2|オイルリグ|◎|7人 &infobox(title=参加者,trigger=click,gravity=west,size=small,animation=fadein){レダー/刃弐/芹沢/ケイン/トピオ/傭兵：ジョシュア/JD}|7人～ &infobox(title=出動者,trigger=click,gravity=west,size=small,animation=fadein){なずぴ/皇帝/ぺいん/えびす/まるん/ローズ/さぶ郎/さぶ郎/他確認中}|2人|23：17|

****6月3日（月）
#table_style(head=center:#EEE:12px){組織=11px:b:center, #=11px:center, ミッション=11px, 回収結果=11px, 犯人=11px, 警察=11px, 逮捕者数=11px, 開始時間=11px}
|~組織|~#|~ミッション|~回収結果|~犯人|~警察|~逮捕者数|~開始時間|
|>|>|>|>|>|>|>|COLOR(gray):BGCOLOR(#EEE):定休日|
#endregion

***6月4日～10日
#region(開く)
****6月4日（火）
#table_style(head=center:#EEE:12px){組織=11px:b:center, #=11px:center, ミッション=11px, 回収結果=11px, 犯人=11px, 警察=11px, 逮捕者数=11px, 開始時間=11px}
|~組織|~#|~ミッション|~回収結果|~犯人|~警察|~逮捕者数|~開始時間|
