&font(#aaa,11px){編集ページ：[[捌木　たいたい/配信アーカイブ]]}

#div(width=200px,bgcolor=#FCF16E){&size(17){&font(b,#666666){　SEASON 1}}}
***&underdot(#f3e4bc,3px){2025年}
#region(開く)
#region(5月)&bold(){5月}
#areaedit()
#table_style(head=center:#FCF16E){配信日=right,#=center}
|~配信日|~#|~配信タイトル|~備考|h
|5/9|1|[[ロスサントス初上陸！DAY1>>https://www.youtube.com/watch?v=p0iEtbSxh5g]]||
|5/10|2|[[簡単に大金を稼げる方法があるらしいです。DAY2>>https://www.youtube.com/watch?v=EpsDj2g5nwM]]|[[9055]]で職場体験|
|5/11|3|[[金稼ぎ！つながりを増やす！運転技術も磨きたいね。DAY3>>https://www.youtube.com/watch?v=ngfO8LGQrUk]]|~|
|5/14|4|[[今日も人脈を増やす。飲食も体験してみたい。DAY4>>https://www.youtube.com/watch?v=v60m5U125Cs]]|[[KoKo七番屋]]で職業体験|
|5/15|5|[[今日は初の車抽選会！まだ行きたい飲食店たくさんある。DAY5>>https://www.youtube.com/watch?v=hYigDe8t_ZQ]]||
|5/16|6|[[上陸5日で借金5000万を背負った男、動きます。DAY6>>https://www.youtube.com/watch?v=0h4rSIhJBkQ]]||
|5/17|7|[[初心者捌木たいたい、一日で借金5000万を返す。今日はどんな出会いがあるのか。DAY7>>https://www.youtube.com/watch?v=kRPVmw5AksA]]|[[海上レストラン>Urashima]]で体験|
|5/18|8|[[初心者たいたい、カジノでボロ負けしました。今日はどんな出会いがあるのか。DAY8>>https://www.youtube.com/watch?v=oN2G-Vwj3_A]]||
|5/21|9|[[本日は副署長と警察官達に囲まれる予定です。DAY9>>https://www.youtube.com/watch?v=uqiXsM_Yc2A]]||
|5/24|10|[[ついに10日目、そろそろ進路を決めねば。DAY10>>https://www.youtube.com/live/VYXu1cVmNYY?si=4ANVHytQ840h_1ZJ]]|[[猫の隠れ家]]で占う|
|5/27|11|[[金がたりねぇ...DAY11>>https://www.youtube.com/watch?v=MC_cCe0yNPM]]||
|5/28|12|[[海上レストラン正社員！もう初心者期間終わっちまうよ...！DAY12>>https://www.youtube.com/watch?v=vH5wMYosAd4]]||
|5/29|13|[[初心者最終日！？人脈大事！！まじで！DAY13>>https://www.youtube.com/watch?v=ESyHw_8BFaw]]||
|5/30|14|[[今日で初心者🔰卒業！海上レストランでパーティ開催します！DAY14>>https://www.youtube.com/watch?v=RD5WfQJ4JdQ]]||
|5/31|15|[[初心者卒業したので色々解禁されます！いくぞ！DAY15>>https://www.youtube.com/watch?v=8np531OwE4I]]||
//|mm/dd|n|[[配信タイトル>>ここに配信URLを入力]]||
#table_sorter{even=#F7F7F7,odd=fff}
#areaedit(end)
#endregion
//
#region(6月)&bold(){6月}
#areaedit()
#table_style(head=center:#FCF16E){配信日=right,#=center}
|~配信日|~#|~配信タイトル|~備考|h
|6/1|16|[[最近新規住民多くない？？同期会発足させます！DAY16>>https://www.youtube.com/watch?v=iGtx8INtxxp2CswD]]||
|6/4|17|[[本日は定例会！バイト部、動きます。DAY17>>https://www.youtube.com/watch?v=7Wu4mLy_KBMcVS3u]]||
|6/11|18|[[1週間ぶりの起床！遊びつくす！DAY17>>https://www.youtube.com/watch?v=KbYBNInrMJM]]||
|6/13|19|[[本日は街が大荒れの模様！海上レストランを！絶対守るぞ！DAY18>>https://www.youtube.com/watch?v=XsiNfJzlO04]]||
|6/17|20|[[初の火曜起床！あの事件後の街を練り歩く。DAY20>>https://www.youtube.com/watch?v=VvJlMtHqwOI]]||
|6/18|21|[[今日は大荒れ予感の結婚式！バイト定例会もあるよ！もりもりだぜ！DAY21>>https://www.youtube.com/watch?v=2K81RFlSy0I]]||
|6/21|22|[[今日は救急隊体験予定！からの同期会だぞ！DAY22>>https://www.youtube.com/watch?v=bvC_d50eVj0]]||
|6/26|23|[[今日こそ救急隊体験！人を救いたい！DAY23>>https://www.youtube.com/watch?v=tdHJAaVIFlE]]||
|6/28|24|[[今日はサバゲ―大会！銃の腕あげるぞ！救急隊体験はどうかな？DAY24>>https://www.youtube.com/watch?v=GgdWrc0wg8E]]||
#table_sorter{even=#F7F7F7,odd=fff}
#areaedit(end)
#endregion
//
#region(7月)&bold(){7月}
#areaedit()
#table_style(head=center:#FCF16E){配信日=right,#=center}
|~配信日|~#|~配信タイトル|~備考|h
|7/1|25|[[まだ間に合うストグラ！今日は芸能プロダクションOPイベント！DAY25>>https://www.youtube.com/watch?v=91JEKFY_0og]]||
|7/2|26|[[今日こそ救急隊体験！たのむぞ！DAY26>>https://www.youtube.com/watch?v=2ahmQoO_I1M]]||
|7/4|27|[[今日は海上レストランイベント！盛り上げるぜぇ！途中で30分別の事やります！DAY27>>https://www.youtube.com/watch?v=TNOzJZYYtSI]]||
|7/8|28|[[救急隊体験できず！DAY28>>https://www.youtube.com/watch?v=Oradevz58cA]]||
|7/11|28.5|[[今日は番外編！ちょこっと金稼ぐよ>>https://www.youtube.com/watch?v=QrNzVJPKQnc]]||
|7/12|29|[[救急隊体験したい所。今日は特大レース！ちゃんと準備して挑むぞ！DAY29>>https://www.youtube.com/watch?v=yhHTezY9MFk]]||
|7/13|30|[[救急隊体験最終日！！楽しむぞ！DAY30>>https://www.youtube.com/watch?v=N_PS9nuE-ag]]||
|7/15|31|[[ヘリバトルの特等席とったぞ！全力応援する！DAY31>>https://www.youtube.com/watch?v=cPghIj2YR4U]]||
|7/16|32|[[マクドナルドさんとの面接がありました。DAY32>>https://www.youtube.com/watch?v=u6RzXC58QSk]]||
|7/19|33|[[同期の成人式に出席＆レース予選最終日！DAY33>>https://www.youtube.com/watch?v=jZHacpF0bSc]]||
|7/20|34|[[超BIGレースイベント観戦＆海上レストラン謎解きイベント＆同期成人式パーティー！DAY34>>https://www.youtube.com/watch?v=2__mMVhhRVA]]||
|7/24|35|[[演劇の練習＆イベント会レク＆同期会BBQ！DAY35>>https://www.youtube.com/watch?v=3pdZCfbnQlM]]||
|7/27|36|[[進路に悩む男。GBC劇の服装も作る！DAY35>>https://www.youtube.com/watch?v=nQUU0XX4eUQ]]||
|7/29|37|[[進路に悩む男。GBCのイベントに出場します！DAY37>>https://www.youtube.com/watch?v=1B3JxQ7ij-M]]||
|7/30|38|[[進路に悩む男。今日はイベントサークルの定例会！DAY38>>https://www.youtube.com/watch?v=anm8fkh-R5Y]]||
|7/31|39|[[進路に悩む男。ベリハピライブ初参戦！オタ活するぞ！DAY38>>https://www.youtube.com/watch?v=MQw9x-PfZ0U]]||
#table_sorter{even=#F7F7F7,odd=fff}
#areaedit(end)
#endregion
//
#region(8月)&bold(){8月}
#areaedit()
#table_style(head=center:#FCF16E){配信日=right,#=center}
|~配信日|~#|~配信タイトル|~備考|h
|8/1|40|[[進路に悩む男。就職先決めたぞ！運命に身を任せて。DAY40>>https://m.youtube.com/watch?v=9AbL_e_KvTo]]||
|8/2|41|[[新たな世界へ。運命に身を任せて。DAY41>>https://m.youtube.com/watch?v=kG7VqywrQqw]]||
|8/3|42|[[新たな世界へ。今日は大波乱の予感です。DAY42>>https://m.youtube.com/watch?v=RSuGRJj2Rd8&pp=0gcJCR4Bo7VqN5tD]]||
|8/5|43|[[新たな世界へ。主催ボートレースの準備等！！DAY43>>https://m.youtube.com/watch?v=xHcgCkCVoa0]]||
|8/6|44|[[新たな世界へ。一夜にして22億手に入れた男の物語。DAY44>>https://m.youtube.com/watch?v=kFiepe25Lrg]]||
