#table_style(head=center:#FFDE69){}
#table_filter(){日付=show,出来事=show,備考=show}
|~日付|~出来事|~備考|h
|23/10/18|ロスサントスへ。初のダウン(空腹)を経験。普通車免許取得|免許の教官は[[海鈴　ナギ]]さん|
|23/10/20|[[奇肉屋]]に就職。[[大川さん>>大　川]]から初めての車を購入|奇肉屋制服を作った時に頭にツノがついた|
|23/10/27|タトゥーを入れる。[[店長>>マカイーノ　アッコパス]]から奇肉屋2号店(あげころ号)を買ってもらう。[[JTS>>ジョアンナテクノサービス]]体験入店|タトゥーの名前は「幸運を掴め」・車は[[プスカ大佐]]から購入|
|23/10/28|[[BMC>>Bear Moon Custom]]に体験入店||
|MIDDLE:23/10/29|何度も事故りながらなんとかバイクの免許を取得&br()病院で人身事故、4人はねる&br()|担当は[[パキ　ち]]先生&br()道路交通法違反で違反切符をきられる|
|23/10/31|はじめてレースに乗せてもらう＆はじめてレースコースを運転させてもらう|運転は[[アドミゲス・ハン]]|
|23/11/02|[[PY>>Project Y]]で体験入店||
|23/11/11|BMCに就職||
|23/12/14|あげころ号のために脳の手術をうける||
|23/12/16|手術成功。ついにあげころ号が話せるようになる||
|23/12/20|街にきてはじめてのプレゼント。[[アドミゲス・ハン]]からイルカのキーホルダーをもらう|交通安全のお守りのお返し|
|23/12/22|[[アドミゲス・ハン]]の本当のお仕事を知る。“あげころプリズン”に収容||
|23/12/23|[[サンタさん>アドミゲス・ハン]]からクリスマスプレゼントをもらう||
|24/03/27|プリズンに収容されている[[アドミゲス・ハン]]のもとへ面会に行く||
|24/06/12|アイドル活動にスカウトされる||
|24/06/15|ついに家を買う。レギオンや警察署から近い事故物件||
|24/06/18|キャバクラVermilionで初のキャバ嬢を体験|指名客4名、売上は5.8億円|
|24/06/20|みんなに秘密のアイドル活動がスタート||
|24/06/24|初めてレースで1位になる| [[ネズ]]、[[物忘　レイナ]]さんと3人で参加|
|24/07/12|謎の施設に閉じ込められる。奇肉屋新店舗オープン|市長いわく触れていはいけない禁断の施設らしい|
|24/08/02|(日付を決めて自分から誘った)初めてのデート|ラブストレート　小里馬ァさんとデートアライブ|
|24/08/06|レースグランプリ第4シーズン 初のベスト10入り|同率9位|
|24/08/13|犬を飼う。ダックスフンドだと思い選んだはずが、ロットワイラーという大きな犬だった|命名：ぽんちゃん|
|24/08/14|小里馬ァさんに大切な別の誰かがいることを知り恋が終わった日|小里馬ァさんの秘密も知った|
|24/09/13|にかのりに出演||
|24/09/20|レース免許を再取得|大川さんとハンさんによる講習|
|24/10/06|[[ぴん子さん>>ろぜ柳　ぴん子]]の歌「なれるかな」のリリースイベントに参加||
|MIDDLE:24/10/11|MIDDLE:PNG vs [[忍さん>>万十　忍]]さんのレース対決|結果&br()あげころ、はがかける：2秒差で敗北　無月レオ：勝利|
|24/10/17|レースグランプリ第4シーズン第9位を記念して[[アドミゲス・ハン]]から表彰状をもらう|この街で始めてもらった表彰状|
|24/11/28|[[れおさん>無月　レオ]]の1stライブに招待してもらい、とっても感動した…が、なんだか様子がおかしいのが気になった|PNGでフラスタを贈った|
|24/12/10|小里馬ァさんと“お友達”に戻った日|小里馬ァさんから受け取った“ツゴウヨクワスレール”の効果|
|24/12/20|[[レオさん>>ツクヨミ　レオ]]に出会い[[れおさん>無月　レオ]]の現状を[[上田さん>>上田　さん]]から教えてもらう||
|24/12/21|第1回 シャンプロ紅白歌合戦にてアイドルグループ[[べりはぴ]]デビュー|店長に伝える|
|24/12/26|しとりんであることが[[忍さん>>万十　忍]]にバレる|互いのため二人だけの内緒に|
|25/06/20|[[べりはぴ]]で恋バナ中に小里馬ァ(ヨシャパテ)さんとの関係の記憶が欠落してる事に気づく|過去のメッセージのやり取りをさかのぼるなど調べることに|
#endregion
//
//